StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26_9,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q20,mturkCode,FL_4_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q2,Can the task — at least theoretically — be done by one individual?,Can the task difficulty or complexity be varied systematically?,For the next few questions answer the degree to which each aspect can be achieved with this task. - There is more than one correct solution,For the next few questions answer the degree to which each aspect can be achieved with this task. - Correctness of a solution can be demonstrated,For the next few questions answer the degree to which each aspect can be achieved with this task. - Integrated actions of group members is required,For the next few questions answer the degree to which each aspect can be achieved with this task. - The task is commonly encountered by members of the society,For the next few questions answer the degree to which each aspect can be achieved with this task. - Task is interesting and attractive,For the next few questions answer the degree to which each aspect can be achieved with this task. - Task requires equal participation or effort from group members,For the next few questions answer the degree to which each aspect can be achieved with this task. - Tasks involve conflict as opposed to cooperation among group members,For the next few questions answer the degree to which each aspect can be achieved with this task. - The goal of the task is to perform as much or as quickly as possible?,For the next few questions answer the degree to which each aspect can be achieved with this task. - The goal of the task is to produce a specific desired outcome?,What is the ratio of mental to motor effort in this task,Categorize this task:,Does the task require generating an action-oriented plan?,Does the task require generating novel ideas?,Is there an objectively correct answer?,Does this task require resolving differences in viewpoint or opinion?,Does this task induce a conflict of interest between the members?,Is it against an opponent or adversary group?,Can the task be divided into two or more easily separated parts?,Does the task require various skills or abilities?,Can the group just sum the product of the members’ efforts?,Does the task require group members to contribute identically to the group’s product?,Can one member’s contribution determine the group’s product?,Does it permit the group members to weight contributions in any way they want?,Q23,Can the task — at least theoretically — be done by one individual?,Can the task difficulty or complexity be varied systematically?,For the next few questions answer the degree to which each aspect can be achieved with this task. - There is more than one correct solution,For the next few questions answer the degree to which each aspect can be achieved with this task. - Correctness of a solution can be demonstrated,For the next few questions answer the degree to which each aspect can be achieved with this task. - Integrated actions of group members is required,For the next few questions answer the degree to which each aspect can be achieved with this task. - The task is commonly encountered by members of the society,For the next few questions answer the degree to which each aspect can be achieved with this task. - Task is interesting and attractive,For the next few questions answer the degree to which each aspect can be achieved with this task. - Task requires equal participation or effort from group members,For the next few questions answer the degree to which each aspect can be achieved with this task. - Tasks involve conflict as opposed to cooperation among group members,For the next few questions answer the degree to which each aspect can be achieved with this task. - The goal of the task is to perform as much or as quickly as possible?,For the next few questions answer the degree to which each aspect can be achieved with this task. - The goal of the task is to produce a specific desired outcome?,What is the ratio of mental to motor effort in this task,Categorize this task:,Does the task require generating an action-oriented plan?,Does the task require generating novel ideas?,Is there an objectively correct answer?,Does this task require resolving differences in viewpoint or opinion?,Does this task induce a conflict of interest between the members?,Is it against an opponent or adversary group?,Can the task be divided into two or more easily separated parts?,Does the task require various skills or abilities?,Can the group just sum the product of the members’ efforts?,Does the task require group members to contribute identically to the group’s product?,Can one member’s contribution determine the group’s product?,Does it permit the group members to weight contributions in any way they want?,Where any parts of this HIT confusing? Do you have any suggestions on how we could improve it?,mturkCode,FL_4 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID26_7""}","{""ImportId"":""QID26_8""}","{""ImportId"":""QID26_9""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""mturkCode""}","{""ImportId"":""FL_4_DO""}"
2020-01-30 15:35:54,2020-01-30 15:36:13,Survey Preview,,100,19,True,2020-01-30 15:36:13,R_QgYY3RYX7oEEH4Z,,,,,39.92059326171875,-75.1826019287109375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roomassignmenttask|Mindseyetask
2020-01-30 15:51:29,2020-01-30 15:51:46,Survey Preview,,100,16,True,2020-01-30 15:51:46,R_yJaS2S6tB2wWl5D,,,,,39.951995849609375,-75.181396484375,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3299,Roomassignmenttask|Mindseyetask
2020-01-31 09:04:02,2020-01-31 09:06:51,IP Address,73.87.209.238,100,169,True,2020-01-31 09:06:52,R_1rihAvzI8B8QFC6,,,,,39.264495849609375,-76.62239837646484375,anonymous,EN,,Yes,No,Probably false,Neither true nor false,Probably true,Definitely false,Definitely true,Probably true,Definitely false,Definitely true,Neither true nor false,Moderately mental effort,Purely judgmental: no demonstrably correct answer.,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,,Yes,Yes,Definitely true,Probably true,Probably true,Definitely false,Neither true nor false,Definitely true,Neither true nor false,Probably true,Probably true,Entirely mental effort,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,no,1704,Mindseyetask|Roomassignmenttask
2020-01-31 09:34:32,2020-01-31 09:45:11,IP Address,24.246.160.119,100,639,True,2020-01-31 09:45:12,R_UT2GehbGbleOWcx,,,,,35.3596038818359375,-82.42659759521484375,anonymous,EN,,No,Yes,Probably true,Probably true,Definitely true,Probably true,Probably true,Probably true,Definitely false,Probably false,Neither true nor false,Moderately mental effort,Purely judgmental: no demonstrably correct answer.,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,,No,Yes,Probably true,Definitely true,Definitely true,Neither true nor false,Probably true,Definitely true,Probably false,Neither true nor false,Definitely true,Entirely mental effort,Purely intellective: correctness of a proposed solution can be readily demonstrated.,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,The instructions were not as obvious as you researchers think.,5962,Mindseyetask|Roomassignmenttask
2020-01-31 09:48:21,2020-01-31 09:50:37,IP Address,70.113.64.2,100,135,True,2020-01-31 09:50:38,R_3Ld2rsmdpa76RRM,,,,,30.2720947265625,-97.686798095703125,anonymous,EN,,Yes,Yes,Probably true,Neither true nor false,Probably true,Probably false,Neither true nor false,Definitely false,Neither true nor false,Probably true,Neither true nor false,About 50–50,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,,Yes,No,Probably true,Neither true nor false,Probably true,Probably false,Definitely false,Neither true nor false,Probably false,Probably true,Neither true nor false,Moderately mental effort,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,NA,5602,Mindseyetask|Roomassignmenttask
2020-01-31 09:43:36,2020-01-31 10:04:34,IP Address,71.207.10.137,100,1257,True,2020-01-31 10:04:34,R_UgcEwOfyOcMclyN,,,,,40.7957000732421875,-77.8618011474609375,anonymous,EN,,Yes,Yes,Definitely true,Definitely true,Neither true nor false,Definitely false,Probably true,Neither true nor false,Probably true,Neither true nor false,Probably true,Moderately mental effort,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,,No,Yes,Probably true,Probably true,Definitely true,Definitely false,Probably false,Probably true,Probably true,Probably true,Definitely true,Moderately mental effort,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,All was confusing but not undoable. No suggestions come to mind.,5094,Mindseyetask|Roomassignmenttask
2020-01-31 10:01:33,2020-01-31 10:05:03,IP Address,72.186.16.165,100,209,True,2020-01-31 10:05:03,R_5i4EPBNOUwbfH21,,,,,27.9929046630859375,-82.4029998779296875,anonymous,EN,,Yes,Yes,Probably true,Neither true nor false,Definitely false,Neither true nor false,Definitely true,Definitely false,Definitely false,Definitely false,Definitely false,Entirely mental effort,Simultaneous: both intellective and judgmental,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,Yes,Definitely false,Definitely true,Definitely true,Definitely true,Definitely true,Definitely true,Definitely false,Definitely false,Definitely true,Entirely mental effort,Purely intellective: correctness of a proposed solution can be readily demonstrated.,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,,3073,Mindseyetask|Roomassignmenttask
2020-01-31 10:10:03,2020-01-31 10:14:45,IP Address,74.134.75.252,100,281,True,2020-01-31 10:14:45,R_tF1Z8BOp1cB3Hhv,,,,,38.0012054443359375,-84.532501220703125,anonymous,EN,,Yes,No,Probably false,Probably true,Probably false,Probably false,Probably true,Probably true,Probably false,Probably false,Probably true,Entirely mental effort,Purely intellective: correctness of a proposed solution can be readily demonstrated.,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,,No,Yes,Definitely true,Probably true,Definitely true,Probably true,Probably true,Definitely true,Probably false,Probably false,Definitely true,Moderately mental effort,"Intermediate: correctness of a proposed solution is more difficult, but not impossible.",Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Everything was clear and easy to understand,3365,Roomassignmenttask|Mindseyetask
2020-01-31 10:12:09,2020-01-31 10:20:11,IP Address,73.227.132.111,100,482,True,2020-01-31 10:20:12,R_2bWwOAi02vo0yqh,,,,,42.8538970947265625,-70.939697265625,anonymous,EN,,Yes,Yes,Probably true,Probably false,Probably false,Probably true,Probably true,Probably true,Probably false,Probably false,Probably false,Entirely mental effort,Purely judgmental: no demonstrably correct answer.,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,Yes,Yes,Probably false,Probably true,Probably false,Neither true nor false,Probably true,Probably true,Probably false,Probably false,Probably true,Entirely mental effort,Purely intellective: correctness of a proposed solution can be readily demonstrated.,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,maybe an introduction,5020,Mindseyetask|Roomassignmenttask
2020-01-31 10:50:03,2020-01-31 10:57:15,IP Address,67.21.32.77,100,432,True,2020-01-31 10:57:16,R_2ToQQUKOyv9lQtz,,,,,35.2368927001953125,-80.89569854736328125,anonymous,EN,,Yes,Yes,Probably false,Probably true,Probably true,Probably true,Definitely false,Probably true,Probably false,Probably false,Probably true,Entirely mental effort,Simultaneous: both intellective and judgmental,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,No,Yes,Definitely false,Definitely true,Probably true,Probably true,Probably true,Definitely true,Probably true,Probably true,Probably true,Entirely mental effort,Purely intellective: correctness of a proposed solution can be readily demonstrated.,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,,9925,Mindseyetask|Roomassignmenttask
