task_names,planning,creativity,intellective,decision.making,cognitive.conflict,mixed.motive,contests,performances
5 squares problem,-2,1.333333332,2.5,2.666666664,4.666666662000001,5,0.6666666660000002,-1.25
9 Dot Problem,0,0.8333333325000001,1.75,2.1666666645,4.166666662500001,5,1.1666666655000002,-1.875
Abstract grid task,-2,1.6666666650000002,3,2.999999997,4.9999999950000005,5,0.3333333330000001,-1.5
Advertisement writing,2,1.6666666650000002,5,0.3333333330000001,3.6666666630000004,1,-0.9999999990000001,-2.5
Aerospace Investment (Role-playing),-2,1.6666666650000002,3,2.999999997,4.9999999950000005,5,1.6666666650000002,-1.5
Allocating resources to programs,0,2.999999997,5,0.3333333330000001,3.6666666630000004,1,-0.3333333330000001,-1.5
Architectural design task,-2,0.999999999,2,2.333333331,4.333333329,5,0.9999999990000003,-1
Battle of the sexes,-1,0.9999999990000001,1,0.999999999,2.999999997,3,1.6666666650000002,-1
Best job candidate (hidden-profile),-2,-1.333333332,1,1.6666666650000002,3.6666666630000004,5,2.333333331,-0.5
Biopharm Seltek,-2,0.3333333330000001,3,2.999999997,4.9999999950000005,5,0.9999999989999999,-1
Blocks World for Teams,-2,0.333333333,1,1.6666666650000002,3.3333333300000003,5,1.6666666650000002,-0.5
Bullard Houses,-2,0.3333333330000001,3,2.999999997,4.9999999950000005,5,1.333333332,-2.25
Carter Racing,-2,1.333333332,2.5,2.666666664,4.666666662000001,5,0.6666666660000002,-1.125
Categorization problem,0,1.6666666650000002,5,1.6666666650000002,4.9999999950000005,5,0.3333333330000001,-2.5
Checkers,-2,0.333333333,1,1.6666666650000002,3.6666666630000004,5,1.6666666650000002,-0.5
Cheering and Clapping,-1.5,-0.666666666,1,1.333333332,1.9999999980000003,4,1.333333332,-0.5
Chicken,-2,0.333333333,1,1.6666666650000002,3.6666666630000004,5,2.999999997,-1.5
Crisis mapping,-2,1.6666666650000002,3,2.999999997,4.9999999950000005,5,0.3333333330000001,-0.5
Desert survival,0,2.999999997,5,0.3333333330000001,3.6666666630000004,1,-0.9999999990000001,-1.5
Dictator game and its variants,-1,-0.333333333,1,0.999999999,2.999999997,3,1.9999999979999998,-1.25
Divergent Association Task,-1.25,0.8333333325000002,3,-0.16666666650000017,3.1666666635000005,3.5,1.1666666654999998,-0.5
Energetics Meets Generex,-2,1.6666666650000002,3,2.999999997,4.9999999950000005,5,1.6666666650000002,-1.5
Estimating geological metrics,0,1.6666666650000002,3,2.999999997,4.9999999950000005,5,0.3333333330000001,-2.5
Estimating pages of a book,-2,0.999999999,4,0.999999999,4.333333329,5,0.9999999990000003,-1
Estimating social quantity,-2,0.333333333,1,1.6666666650000002,3.6666666630000004,5,1.6666666650000002,-0.5
Euclidean traveling salesperson,1,0.9999999990000001,1,0.999999999,2.999999997,3,1.6666666650000002,-1.5
Find the maximum,-2,0.999999999,2,2.333333331,4.333333329,5,0.9999999990000003,-1
"Forecasting and Estimation in Groups, with Confidence",-2,1.6666666650000002,3,2.999999997,4.9999999950000005,5,0.3333333330000001,-1.5
Game of Clue - Terrorist Attack,0,0.333333333,1,1.6666666650000002,3.6666666630000004,5,1.6666666650000002,-1
Graph coloring task,0,0.8333333325000001,1.75,2.1666666645,4.166666662500001,5,1.1666666655000002,-1.875
Guessing numbers,0,0.333333333,1,1.6666666650000002,3.6666666630000004,5,2.333333331,-2
