question_name,num_raters.x,krippendorf_alpha.x,class_balance.x,mean_agreement.x,mean_alpha.x,num_raters.y,krippendorf_alpha.y,class_balance.y,mean_agreement.y,mean_alpha.y,num_raters,krippendorf_alpha,class_balance,mean_agreement,mean_alpha
Q1concept_behav,8,1,0,1,1,7,1,0,1,1,6,1,0,1,1
Q7type_7_battle,8,1,0,1,1,7,1,0,1,1,6,1,0,1,1
Q14sol_scheme_mul,8,-0.02764976958525356,0.03125,0.96875,0.9375,7,1,0,1,1,6,1,0,1,1
Q24eureka_question,5,-0.03947368421052633,0.05,0.95,0.9,4,1,0,1,1,3,1,0,1,1
Q3type_1_planning,8,0.7103896103896103,0.3125,0.9375,0.875,7,0.8260416666666667,0.2857142857142857,0.9642857142857144,0.9285714285714286,6,1,0.25,1,1
Q4type_2_generate,8,0.6681547619047619,0.25,0.9375,0.875,7,0.8260416666666667,0.2857142857142857,0.9642857142857144,0.9285714285714286,6,1,0.25,1,1
Q16shared_knowledge,8,0.11330049261083752,0.06451612903225806,0.9375,0.875,7,0,0.03703703703703703,0.9642857142857144,0.9285714285714286,6,1,0,1,1
Q17within_sys_sol,8,-0.03448275862068972,0.06451612903225806,0.9375,0.875,7,1,0,1,1,6,1,0,1,1
Q15dec_verifiability,8,0.00609899132066615,0.09375,0.90625,0.8125,7,-0.03086419753086411,0.03571428571428571,0.9642857142857144,0.9285714285714286,6,1,0,1,1
Q18ans_recog,8,-0.0714285714285714,0.0967741935483871,0.90625,0.8125,7,0,0.03703703703703703,0.9642857142857144,0.9285714285714286,6,1,0,1,1
Q19time_solvability,8,0.00609899132066615,0.09375,0.90625,0.8125,7,-0.03086419753086411,0.03571428571428571,0.9642857142857144,0.9285714285714286,6,1,0,1,1
Q20type_3_type_4,8,0.00609899132066615,0.09375,0.90625,0.8125,7,-0.03086419753086411,0.03571428571428571,0.9642857142857144,0.9285714285714286,6,1,0,1,1
Q22confl_tradeoffs,8,0.5828231292517007,0.375,0.875,0.75,7,0.7287199480181936,0.32142857142857145,0.9285714285714286,0.8571428571428572,6,0.8,0.2916666666666667,0.9583333333333334,0.9166666666666669
Q6type_5_cc,8,0.2602040816326532,0.2258064516129032,0.8392857142857143,0.6785714285714286,7,0.319047619047619,0.25925925925925924,0.8511904761904763,0.7023809523809524,6,0.536842105263158,0.17391304347826086,0.9166666666666666,0.8333333333333333
Q10maximizing,8,0.5238095238095242,0.4838709677419355,0.8348214285714286,0.6696428571428572,7,0.5333333333333332,0.48148148148148145,0.8452380952380952,0.6904761904761905,6,0.576923076923077,0.43478260869565216,0.8583333333333334,0.7166666666666667
Q8type_8_performance,8,0.5388493859082094,0.43333333333333335,0.8125,0.625,7,0.609375,0.38461538461538464,0.8642857142857143,0.7285714285714286,6,0.7500000000000001,0.3636363636363637,0.875,0.75
Q23ss_out_uncert,8,0.24456746261257545,0.40625,0.78125,0.5625,7,0.33390313390313386,0.4642857142857143,0.8214285714285714,0.6428571428571429,6,0.5006993006993007,0.4583333333333333,0.875,0.75
Q13outcome_multip,7,0.26262626262626265,0.4230769230769231,0.7619047619047619,0.5238095238095238,6,0.3717948717948718,0.4090909090909091,0.8083333333333333,0.6166666666666667,5,0.580246913580247,0.5,0.875,0.75
Q11optimizing,8,0.12087912087912056,0.41935483870967744,0.7053571428571428,0.4107142857142857,7,0.19450980392156855,0.3703703703703703,0.7380952380952381,0.47619047619047616,6,0.17500000000000004,0.30434782608695654,0.7833333333333333,0.5666666666666667
Q9divisible_unitary,8,-0.09982993197278912,0.375,0.625,0.25,7,-0.03086419753086411,0.35714285714285715,0.6785714285714286,0.3571428571428571,6,0.03312499999999996,0.3333333333333333,0.75,0.5
