question_name,num_raters,krippendorf_alpha,class_balance,mean_agreement,mean_alpha
Q1concept_behav,6,1,0,1,1
Q3type_1_planning,6,1,0.25,1,1
Q4type_2_generate,6,1,0.25,1,1
Q7type_7_battle,6,1,0,1,1
Q14sol_scheme_mul,6,1,0,1,1
Q15dec_verifiability,6,1,0,1,1
Q16shared_knowledge,6,1,0,1,1
Q17within_sys_sol,6,1,0,1,1
Q18ans_recog,6,1,0,1,1
Q19time_solvability,6,1,0,1,1
Q20type_3_type_4,6,1,0,1,1
Q24eureka_question,3,1,0,1,1
Q22confl_tradeoffs,6,0.8,0.2916666666666667,0.9583333333333334,0.9166666666666667
Q6type_5_cc,6,0.536842105263158,0.17391304347826086,0.9166666666666666,0.8333333333333333
Q8type_8_performance,6,0.7500000000000001,0.36363636363636365,0.875,0.75
Q13outcome_multip,5,0.580246913580247,0.5,0.875,0.75
Q23ss_out_uncert,6,0.5006993006993007,0.4583333333333333,0.875,0.75
Q10maximizing,6,0.576923076923077,0.43478260869565216,0.8583333333333334,0.7166666666666667
Q11optimizing,6,0.17500000000000004,0.30434782608695654,0.7833333333333333,0.5666666666666667
Q9divisible_unitary,6,0.03312499999999996,0.3333333333333333,0.75,0.5
