task,question_name,value
Abstract grid task,Q10maximizing_elaboration,It's the opposite with performing the task in fewest clicks but it is the same general idea.
Trivia Multiple Choice Quiz,Q10maximizing_elaboration,It is a timed task
Computer maze,Q10maximizing_elaboration,No I didn't have trouble.
Recall videos,Q10maximizing_elaboration,"I take ""maximizing the score"" and ""answering as many correct as possible"" to say yes to this question"
Trivia Multiple Choice Quiz,Q10maximizing_elaboration,"It really depends on how many questions are available. If there are only 10 questions then it would be a no (I think), but if it is a very long list, then it would be a yes"
Advertisement writing,Q10maximizing_elaboration,"there is a time limit but, doesn't seem very relevant"
"Wolf, goat and cabbage transfer",Q10maximizing_elaboration,Because you're trying to accomplish the task in as few trips as possible
Estimating pages of a book,Q10maximizing_elaboration,It is a timed task
Computer maze,Q10maximizing_elaboration,"no, you have to pair as much greebles as possible in certain amount of time "
Visual Oddball Target,Q10maximizing_elaboration,It is a timed task
To evacuate or not to evacuate,Q10maximizing_elaboration,"I assume my answer is correct as it would not require 'more' of anything, except luck maybe."
Search for Oil Task,Q10maximizing_elaboration,Memorizing your drill points and drilling in the actual game are both timed. 
Letters-to-numbers problems (cryptography),Q10maximizing_elaboration,IT's a timed task
Word construction from a subset of letters,Q10maximizing_elaboration,It is a timed task
Putting food into categories,Q10maximizing_elaboration,no because in this case the participants do have to have the most amount of ideas in the less amount of time
Railroad Route Construction game,Q10maximizing_elaboration,No trouble.
9 Dot Problem,Q10maximizing_elaboration,"Pretty confident on this one, even though they are fighting against the clock."
Recall images,Q10maximizing_elaboration,The memory game is timed
Reproducing arts,Q10maximizing_elaboration,It is a timed task
Estimating pages of a book,Q10maximizing_elaboration,"The way I understand it, the limiting factor is the time - work as quickly as [possible top get as closely as possible, so I said yes."
Trivia Multiple Choice Quiz,Q11optimizing_elaboration,"There is a precise answer you're wanting to get, but it is graded on a gradient scale"
Visual Oddball Target,Q11optimizing_elaboration,"I struggled somewhat with this one because there is only one correct answer to each grouping, however it isn't possible to get close to the correct answer without actually being correct, so it doesn't seem like precision is the right concept to describe it"
Recall videos,Q11optimizing_elaboration,"This one was hard, depending on definitions. There is one correct answer to each question, so in that sense the outcome is precise."
Trivia Multiple Choice Quiz,Q11optimizing_elaboration,"According to the description there is a maximum score possible, so I wasn't sure if that was "" a precise outcome"""
9 Dot Problem,Q11optimizing_elaboration,"Instructions say up to 4 lines, but it would take the full 4 lines to achieve the goal."
Allocating resources to programs,Q11optimizing_elaboration,"I took the precision as the $500,000 that must be allocated."
Search for Oil Task,Q11optimizing_elaboration,"goal is to find exact locations, not the number of exact locations"
To evacuate or not to evacuate,Q11optimizing_elaboration,"I took the goal as precise, to avoid the disaster."
Estimating pages of a book,Q11optimizing_elaboration,"There is a precise number you're wanting to get, but it is graded on a gradient scale"
Computer maze,Q11optimizing_elaboration,"no, you have to achieve the goal of pairing all of the identical greebles correctly"
Visual Oddball Target,Q11optimizing_elaboration,"You have to identify the oddball or you lose, the outcome is precise"
Search for Oil Task,Q11optimizing_elaboration,"if they find all of 144 oil locations, that is precise"
Recall images,Q11optimizing_elaboration,"I think there is supposed to be ""precision"" in that the participants need to identify only the faces they've previously seen and avoid ""mis-identifying"" faces they haven't seen. "
Search for Oil Task,Q11optimizing_elaboration,I think because there isn't a set number to achieve the goal is just to outperform the others the answer to this one would be no.
Computer maze,Q11optimizing_elaboration,"The player has to complete the maze, but only receives reduced score for less than maximum.  It would be clearer if I knew how the greebles scoring worked."
Word construction from a subset of letters,Q11optimizing_elaboration,"There is a precise number that you can get, but it is graded on a gradient scale"
Abstract grid task,Q11optimizing_elaboration,"There is an image that must be recreated, so I consider that a precise outcome."
Putting food into categories,Q11optimizing_elaboration,no because they are not asking for a specific amount of ideas in this case they are asking for as many ideas as possible 
Railroad Route Construction game,Q11optimizing_elaboration,No trouble.
Reproducing arts,Q11optimizing_elaboration,The goal is to make you're spreadsheet look exactly like the target. 
Trivia Multiple Choice Quiz,Q13outcome_multip_elaboration,"It's a ""right or wrong"" task"
Checkers,Q13outcome_multip_elaboration,"Technically, checkers is a solved game, so in my opinion there is always a ""best solution"" for it."
Trivia Multiple Choice Quiz,Q13outcome_multip_elaboration,"Technically getting all of the answers correct would be a best solution I think, but without knowing if it is reasonable to get them all done (for example if there were 100 question in a 5 minute timer, that would not even be possible) it is hard to say there is a best solution"
"Wolf, goat and cabbage transfer",Q13outcome_multip_elaboration,there are a few different scenarios that will accomplish the task but not many
To evacuate or not to evacuate,Q13outcome_multip_elaboration,"I went back and forth on this one, I could see it going either way but if someone wants to avoid risk, the best solution might be evacuating even if a disaster does not strike."
Estimating pages of a book,Q13outcome_multip_elaboration,Guessing exactly right would be difficult but it's the best solution
Computer maze,Q13outcome_multip_elaboration,"no, because the best solution is the one that tags all the greeble pairs  correctly "
Word completion given starting letter,Q13outcome_multip_elaboration,"I wasn't entirely clear if I should account for whether it is reasonable or not. There are only so many words in the English language, and so I finite numbr of words that start and end with 2 given letter. So there is a theoretical maximum number of words and with enough time time a group could get them all. But it is very unlikely, especially not in a reasonable time limit. So..."
To evacuate or not to evacuate,Q13outcome_multip_elaboration,There would be a 'best' solution but it wouldn't be know until afterwards.
Recall videos,Q13outcome_multip_elaboration,It's possible the questions could have more than one correct answer.
"Wolf, goat and cabbage transfer",Q13outcome_multip_elaboration,there are 2 solutions
Advertisement writing,Q13outcome_multip_elaboration,It's a judgment call and many offerings could be suitable.
Letters-to-numbers problems (cryptography),Q13outcome_multip_elaboration,Get to the answer in the fewest attempts
Word construction from a subset of letters,Q13outcome_multip_elaboration,Coming up with all possible solutions would be the best 
Putting food into categories,Q13outcome_multip_elaboration,no because the solution is not a specific answer in this cases there would be different solutions because they are different creative ideas
Wildcat Wells,Q13outcome_multip_elaboration,It really depends on what the mao shows you as to how you go about completing the task
Railroad Route Construction game,Q13outcome_multip_elaboration,No trouble.
Recall images,Q13outcome_multip_elaboration,Remembering every item I would assume is the best outcome
Room assignment task,Q14sol_scheme_mul_elaboration,"There is an optimal arrangement, so a ""best"" way"
Trivia Multiple Choice Quiz,Q14sol_scheme_mul_elaboration,"Either you know the answer and select it, or you can use the process of elimination to arrive at the correct answer"
Advertisement writing,Q14sol_scheme_mul_elaboration,"hard to say, it could not applicable"
Railroad Route Construction game (Impossible Version),Q14sol_scheme_mul_elaboration,"Seeing as how there is no way to win, there is no way to achieve the actual task/goal."
"Wolf, goat and cabbage transfer",Q14sol_scheme_mul_elaboration,There aren't a huge amount of way to do it but there's more than one
Search for Oil Task,Q14sol_scheme_mul_elaboration,each person will have their own way of remember points on the map with the best chance of finding oil
Recall videos,Q14sol_scheme_mul_elaboration,I feel like there could be different ways to pay attention to the video. I just don't know them all. 
Estimating pages of a book,Q14sol_scheme_mul_elaboration,To guess exactly right would be the only correct way 
Recall association,Q14sol_scheme_mul_elaboration,There are likely many different methods used to recall words.
Railroad Route Construction game (Impossible Version),Q14sol_scheme_mul_elaboration,There are no methods to achieve the task since it is impossible.
Search for Oil Task,Q14sol_scheme_mul_elaboration,different places to click on map 
To evacuate or not to evacuate,Q14sol_scheme_mul_elaboration,"There is only one way of clicking a button, but more than one way of thinking about risk"
"Wolf, goat and cabbage transfer",Q14sol_scheme_mul_elaboration,"2 ways to solve, so, not ""many"" and not one"
Letters-to-numbers problems (cryptography),Q14sol_scheme_mul_elaboration,I think because you can try to figure out different parts of the equations to figure out the solution there isn't a concrete way to solve.
Abstract grid task,Q14sol_scheme_mul_elaboration,"There is one best, but that isnt what is being judged. Basically, completion is being judged, even if it takes a 1000 steps."
Putting food into categories,Q14sol_scheme_mul_elaboration,no because in this case they are asking for creative ideas no matter how they achieve it
Wildcat Wells,Q14sol_scheme_mul_elaboration,"The only way to ""win"" is to find the most. There might be different algorithms to it, but the goal is most"
Allocating resources to programs,Q14sol_scheme_mul_elaboration,"Since the 500K can be distributed in different amounts, I would say that there are several (3) ways to distribute the funds."
Railroad Route Construction game,Q14sol_scheme_mul_elaboration,No trouble.
Recall images,Q14sol_scheme_mul_elaboration,I think there would be different methods to try to remember what is asked of you
Reproducing arts,Q14sol_scheme_mul_elaboration,It has to look exactly like the target spreadsheet
Estimating pages of a book,Q14sol_scheme_mul_elaboration,"I think there are a lot of ways this could be done - having everyomne guess and taking the average, using a magnifying glass on the picture, etc."
Advertisement writing,Q15dec_verifiability_elaboration,"possible could be yes, however, the best blurb for the kickstarter product could be subjective to the kickstarter's products creator"
Computer maze,Q15dec_verifiability_elaboration,"no , you can verify if all of the pairs were tagged correctly"
Railroad Route Construction game (Impossible Version),Q15dec_verifiability_elaboration,No solutions
Word completion given starting letter,Q15dec_verifiability_elaboration,"is this question asking if one specific solution (word here) can be judged as correct, or whether the group of words as a whole can be judged as correct? As in, is the group all possible words matching the ruleset?"
Divergent Association Task,Q15dec_verifiability_elaboration,I believe a word expert could determine semantic distance
Word construction from a subset of letters,Q15dec_verifiability_elaboration,If the words can be verified to be actual words it's correct
Putting food into categories,Q15dec_verifiability_elaboration,no because in the cases you can not measure if the creativeness of those ideas are very creative or less creative
Railroad Route Construction game,Q15dec_verifiability_elaboration,No trouble.
Reproducing arts,Q15dec_verifiability_elaboration,"If it looks like a 1:1 copy, then it's correct"
Trivia Multiple Choice Quiz,Q16shared_knowledge_elaboration,I would assume that an algorithm could solve this 
Trivia Multiple Choice Quiz,Q16shared_knowledge_elaboration,"Assuming a bot isn't preprogrammed with all of the knowledge in the world, I think this is no"
Recall images,Q16shared_knowledge_elaboration,If the algorithm knows the correct images ahead of time they would be able to identify assuming it has face detection features.
To evacuate or not to evacuate,Q16shared_knowledge_elaboration,I think an algorithm could be set up here to choose whether to evacuate or stay based on the risk level.
Estimating pages of a book,Q16shared_knowledge_elaboration,"Since it's about being given a total number of pages and guessing about what the thickness equals to, there could be an algorithm that could be written to solve it"
Computer maze,Q16shared_knowledge_elaboration,"no, because there are specific set rules to follow and certain outcomes"
Image rating,Q16shared_knowledge_elaboration,Unless the algorithm already knows the poll answers they could not solve
Visual Oddball Target,Q16shared_knowledge_elaboration,Because it's a visual task I would assume it's purely a human task
Search for Oil Task,Q16shared_knowledge_elaboration,"If the algorithm can identify the correct squares before the start of the task, they could get pick them all."
Search for Oil Task,Q16shared_knowledge_elaboration,I think given the rules and map an algorithm could be written to achieve the best outcome
Letters-to-numbers problems (cryptography),Q16shared_knowledge_elaboration,I would assume that an algorithm could solve this 
Word construction from a subset of letters,Q16shared_knowledge_elaboration,I would assume that an algorithm could solve this 
Putting food into categories,Q16shared_knowledge_elaboration,no because when you come up with creative ideas you do it with out following basic rules that can bring specific outcomes
Estimating social quantity,Q16shared_knowledge_elaboration,"I think it really depends on what the algorithm has been learning. If it's learned about this specific topic, then I would yes, it could probably solve this. But if it's just an algorithm that hasn't been learning anything about this phenomena, then probably not. However, it may still be able to give estimates comparable to that of human participants, especially if they're just guessing."
Railroad Route Construction game,Q16shared_knowledge_elaboration,No trouble.
Guessing the correlation,Q16shared_knowledge_elaboration,"You could train a model to get as precise as possible, so there must be some algorithmic way."
Recall images,Q16shared_knowledge_elaboration,Because it's a memory task I would assume it's purely a human task
Divergent Association Task,Q16shared_knowledge_elaboration,This is assuming there are defined scores attached to words.
Reproducing arts,Q16shared_knowledge_elaboration,I don't think an algorithm would be needed to make a copy
Estimating pages of a book,Q16shared_knowledge_elaboration,"The objective is precise, but I wouldnt think there is an absolute, verifiable, solution. You could guess and get the right answer. A reasonable, educated guess, like guessing beans in a jar."
Writing story,Q17within_sys_sol_elaboration,there is no solution as there is not a problem.
Railroad Route Construction game (Impossible Version),Q17within_sys_sol_elaboration,"There is enough, but it doesn't matter, as there is no way to finish or win the game."
Estimating pages of a book,Q17within_sys_sol_elaboration,"To get the exact number I don't think there's enough info, you're making an educated guess"
Divergent Association Task,Q17within_sys_sol_elaboration,If there were semantic rules already established then there could be a solution based on that data
Putting food into categories,Q17within_sys_sol_elaboration,no because in this case there multiple valid answers that come from creative different ideas
Estimating pages of a book,Q17within_sys_sol_elaboration,"I think that checking the number of pages in the book would be ""outside"" the system but I'm not sure."
Allocating resources to programs,Q17within_sys_sol_elaboration,"Yes because you have 500K and you must distribute the funds among 3 social/government programs and you get to decide how to allocate the funds. So, as long as the whole 500K are distributed, you have found a solution."
Railroad Route Construction game,Q17within_sys_sol_elaboration,No trouble.
Divergent Association Task,Q17within_sys_sol_elaboration,"There is no mention of looking up answers online but if allowed, it would be an advantage here."
Writing story,Q18ans_recog_elaboration,There is no answer to be had. This is just a creative writing.
Trivia Multiple Choice Quiz,Q18ans_recog_elaboration,I assume you wouldn't be allowed to look up the correct answer as part of the knowing it when you see it
Railroad Route Construction game (Impossible Version),Q18ans_recog_elaboration,"This goal is made to be unsolvable, so there really is no correct solution."
Estimating pages of a book,Q18ans_recog_elaboration,"I don't think an outsider would know the answer for sure, only the person that created the problem"
Railroad Route Construction game (Impossible Version),Q18ans_recog_elaboration,Not applicable as impossible to solve
Visual Oddball Target,Q18ans_recog_elaboration,I think once you identify it you know whether it's correct or not
Word completion given starting letter,Q18ans_recog_elaboration,"Again, are you asking about one answer within the group of answers, the group as a whole being all of the possible words that match the rules. Because, yes, you can know one word fits, but you can't know if all of the words have been found..."
Search for Oil Task,Q18ans_recog_elaboration,I believe this task is either you choose correctly or not.
Letters-to-numbers problems (cryptography),Q18ans_recog_elaboration,1 by 1 you correct
Divergent Association Task,Q18ans_recog_elaboration,I think different people could argue semantic distance based on their own perceptions
Putting food into categories,Q18ans_recog_elaboration,no because in this case you can see the right answer once you see how they have divided the items
Reproducing arts,Q18ans_recog_elaboration,Participants won't know the answer for sure until after the end of the task
Allocating resources to programs,Q18ans_recog_elaboration,"The goal here is to distribute 500K not whether the way the funds were distributed is correct. So, an outside party would simply have to evaluate if the whole 500K were distributed among the 3 programs."
Railroad Route Construction game,Q18ans_recog_elaboration,No trouble.
Recall images,Q18ans_recog_elaboration,Either you remember or you don't
Moral Reasoning (Disciplinary Action Case),Q18ans_recog_elaboration,It states in problem no correct solution
Reproducing arts,Q18ans_recog_elaboration,Either you copy it without mistakes or you don't
Estimating geological metrics,Q19time_solvability_elaboration,"Yes, since only restraint is not looking up solutions online. Other resources could be used. "
