task,Conceptual-Behavioral,Type 1 (Planning),Type 2 (Generate),Type 5 (Cognitive Conflict),Type 7 (Battle),Type 8 (Performance),Divisible-Unitary,Maximizing,Optimizing,Outcome Multiplicity,Solution Scheme Multiplicity,Decision Verifiability,Shared Knowledge,Within-System Solution,Answer Recognizability,Time Solvability,Type 3 and Type 4 (Objective Correctness),Conflicting Tradeoffs,Solution Scheme Outcome Uncertainty,Eureka Question,Intellectual-Manipulative,Intellective-Judgmental,Creativity Input,Type 6 (Mixed-Motive),PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,cluster,synergy
Categorization problem,0,0.16666666666666666,0.16666666666666666,0.125,0.3333333333333333,0.9166666666666666,0.21739130434782608,0.4583333333333333,0.875,0.9583333333333334,0.6666666666666666,1,0.7916666666666666,0.9583333333333334,0.875,1,1,0.7083333333333334,0.75,0.25,0.05416666666666667,0.9458333333333332,0.26666666666666666,0,0.7269318480647419,0.6049307556715935,-0.39837030109235155,-0.021485901942509295,-0.09241335413736085,-0.21149680343915087,0.012829309803988415,-0.17255802480335533,0.011761523608180446,-0.23150568671192334,0.04503238789332705,0.06055455874977867,0.15382569916429353,-0.2059904354798723,-0.20529440123239096,-0.03502324673926906,0.016921984218806828,0.058481042189823605,-0.06875737418169953,-0.09164490745241079,-0.029596546215095436,-0.03157208694775466,0.0015542761185727292,0.006502479404859988,3,0
Mastermind,0,0.1153846153846154,0.1153846153846154,0.07692307692307693,0.2,0.07692307692307693,0.16,0.64,0.8461538461538461,0.9230769230769232,0.4615384615384616,0.9615384615384616,0.9615384615384616,1,0.8076923076923077,0.9230769230769232,1,0.2692307692307692,0.4615384615384616,0.1153846153846154,0.10384615384615384,0.9346153846153846,0.2346153846153846,0,0.8089734018969851,-0.02808017788006592,-0.047295467863013946,0.03474819632085098,-0.00895201685853926,0.013052367782311596,-0.014000002493939845,0.24695052212919158,0.11589897185171467,0.15127986774657282,0.04662042209133605,-0.1510433259106458,-0.06806197197249435,0.06665269228901133,-0.11172933308158861,-0.1655601888352103,0.051439538790716374,-0.031238174419442308,-0.031042524183007632,0.030490256034854543,0.03291774334882015,-0.011888895732619038,0.009126749910368909,-0.03667117178628695,3,0
Logic Problem,0,0.2692307692307692,0.15384615384615383,0.1153846153846154,0.2307692307692308,0.15384615384615383,0.2692307692307692,0.5769230769230769,0.7692307692307693,0.9615384615384616,0.3076923076923077,0.9230769230769232,0.8846153846153846,1,0.9230769230769232,0.9615384615384616,0.9615384615384616,0.38461538461538464,0.6923076923076923,0.3076923076923077,0.02692307692307692,0.9615384615384616,0.2,0,0.7294171392155655,0.105801455435337,-0.0728268010932275,-0.029331499233447952,-0.2027310587245713,0.05429925196040622,-0.041440184277404354,0.13591645930225302,0.0029797606316773126,0.08686990808004534,0.1253407224111504,-0.06035573606229301,-0.10073915021638791,-0.023354246169668254,0.0075384451770613425,-0.037152631413220755,-0.038968493195370615,-0.08993257296236176,0.1641479313764437,0.020938395582577173,-0.06652417715608687,0.019424699472540916,-0.016854843248121205,0.0036327292507419375,3,0
Sudoku,0.04545454545454545,0.13636363636363635,0.13636363636363635,0.09090909090909093,0.2272727272727273,0.9545454545454546,0.2727272727272727,0.2727272727272727,0.9090909090909092,0.9545454545454546,0.6363636363636364,1,1,1,1,1,1,0.18181818181818185,0.04545454545454545,0.2272727272727273,0.07727272727272727,0.990909090909091,0.18181818181818185,0,1.0416846074659623,0.40002673690493895,-0.6090001644973231,-0.32016535741082697,0.5036007983624238,-0.18765253529201298,0.200830856014095,-0.005528479522038745,0.18927455597538573,0.05599687734237674,0.009703995648118968,7.599962942540228e-4,-0.05599779512506264,-0.1088254428017445,-0.13084454362176712,-0.03803864381095275,0.16802386118410814,0.0351556951975693,-0.03017691748376341,-0.02645066334704816,0.004521863129153193,-0.028964586639899335,6.741226218565871e-4,0.012123113925126048,3,0
"Rank cities by population, rank words by familiarity",0,0.04347826086956521,0,0.08695652173913043,0.04347826086956521,0,0.13636363636363635,0.5652173913043478,0.7391304347826086,0.9565217391304348,0.5652173913043478,1,0.782608695652174,0.43478260869565216,0.6086956521739131,0.8695652173913043,1,0.08695652173913043,0.8636363636363636,0.04347826086956521,0.02608695652173913,0.9478260869565216,0.11304347826086956,0,0.6900485714339394,-0.11579057223722831,0.10673741418695973,0.6161838778722566,0.036362266790142844,-0.011402479213236155,-0.11086233251094625,0.022160465599637184,0.009675695798869975,0.24684659376004087,-0.23959970273447137,0.024127691582831172,-0.05705809843009496,0.010789164889285425,0.1663577255505195,-0.03866519169157224,0.08536655612528378,0.04459379054317246,-0.056021345870599766,-0.03001916116927316,-0.03587633630314381,0.00711634496313434,0.0020535664934804984,0.015829363499060004,3,0
Shopping plan,0.04166666666666666,1,0.16,0.08,0.32,0.08333333333333333,0.43478260869565216,0.84,0.48,0.8,0.2,0.92,0.8,1,1,0.96,0.96,0.92,0.7083333333333334,0.04,0.132,0.908,0.304,0,0.3933589825781869,0.07386238773667192,0.09987953440700262,-0.46307687444584733,-0.8318858080377632,0.08569610315587546,0.15936994658638934,0.05109407901262041,-0.2960682251669889,0.11867366912639433,0.09103312184611857,0.015304315786508753,-0.09579807622618598,0.12341408884022435,-0.2311201449594346,0.26985340963034976,0.22909194908688932,0.06564256091586956,0.12052292647947843,-0.09949652579932718,-0.027448240440431156,-0.020433505654652864,0.031343666418039345,-0.001942375245377609,3,0
Carter Racing (Experimenterless Version),0.08333333333333333,0.375,0.30434782608695654,0.3333333333333333,0.43478260869565216,0.9166666666666666,0.34782608695652173,0.04545454545454545,0.9583333333333334,0.9583333333333334,0.4166666666666667,0.9166666666666666,0.75,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.875,0.5,0.6956521739130435,0.4166666666666667,0.09166666666666667,0.8875,0.32916666666666666,0,0.57301639369901,0.6650224906884465,-0.7094602241784654,-0.12189054607676718,0.02521189740807786,-0.032273826593137336,0.03339445548632314,-0.34451826486024595,-0.007241422541952234,0.01065969483819297,0.28316818885380024,0.023088724116399124,0.07065563958775921,-0.05232891965726205,0.0513116384338008,0.07202572572481042,0.0012265178777795577,-0.060045977471712794,0.12961677647204198,-0.013951745424801215,-0.08864528179815918,0.03328516254003347,0.01379135705241209,0.01729930618639383,3,0
Iterative lemonade stand task,0.04166666666666666,0.25,0.125,0.04166666666666666,0.08333333333333333,0,0.21739130434782608,0.625,0.5,0.8181818181818182,0.25,0.8333333333333334,1,0.9166666666666666,0.5,0.875,0.9583333333333334,0.75,0.875,0.125,0.09583333333333334,0.9208333333333334,0.225,0,0.3535567259792667,-0.06085220310524446,0.05875903036915159,0.11050110875509125,-0.5769771205577288,-0.045592939543179334,0.06596935366578749,0.23743766443066464,0.06619988393485597,0.20131848403757358,0.024787116914995425,0.09264376142184472,0.06242795566406955,-0.1548460684638195,0.0038247247638416824,-0.20580399727265547,6.365771490204251e-4,0.11178762732328264,0.001670919841801427,0.03298656570799939,-0.06634114012092109,-0.03936417943260303,-0.07523533534043784,-0.024442786469655354,3,0
Reading the mind in the eyes,0,0,0,0,0.13043478260869565,0.13043478260869565,0.3,0.6086956521739131,0.6086956521739131,1,0.6956521739130435,0.9545454545454546,0.5217391304347826,1,0.8260869565217391,0.8260869565217391,0.9565217391304348,0.04347826086956521,0.9523809523809524,0.04545454545454545,0.06086956521739131,0.8130434782608695,0.10434782608695652,0,0.6920023567995912,-0.15122353219227305,0.13640491196244428,0.46382275093459185,0.15176641283749595,0.06769239768980416,-0.039578623458503284,0.07079328498554494,0.02189176509943408,-0.24568491713005042,0.08765393763423412,0.1829976929431741,0.016760220550454005,0.07017553254618106,-0.05732650328151403,0.10111510124401381,-0.05551371153621143,0.06337446948596107,0.11082456980876393,0.047648537644910234,0.04623701056253128,0.019898153986626047,0.04038448120378515,0.01109970464495324,3,0
Writing story,0,0.125,0.4,0.36,0.08,0.04,0.25,0.16,0,0,0.04,0.08333333333333333,0,0.7727272727272727,0.09523809523809525,0.2916666666666667,0.12,0.2,0.3636363636363637,0,0.08800000000000001,0.096,0.916,0,-1.3879602921193233,-1.003685252473174,-0.8397588666065434,0.05489223369309612,0.3321263641818162,0.1085388191458587,-0.1100001047864599,0.1359062166159867,0.03675800739475747,0.03874987236397805,0.15191843634790425,0.05135134209429577,-0.11310438651066927,0.20588481103534934,0.10745534186189731,-0.0517557089596125,-0.054634590377782066,0.1779778159688666,-0.014250083166608453,-0.07064767845864198,0.018207141717130355,-0.11968602290407518,0.014194982081900176,-0.017824364168849995,2,1
