"","task_names","All_Columns","Shaw","McGrath","Zigurs","Steiner"
"1","Categorization problem","1","2","1","4","3"
"2","Crisis mapping","1","2","5","4","4"
"3","Divergent Association Task","1","4","4","5","5"
"4","Euclidean traveling salesperson","1","2","2","1","2"
"5","Game of Clue - Terrorist Attack","1","2","2","1","4"
"6","Hidden figures in a picture","1","4","1","5","5"
"7","Husbands and wives transfer","1","2","4","3","5"
"8","Iterative lemonade stand task","1","2","1","1","5"
"9","Mastermind","1","4","1","4","2"
"10","Putting food into categories","1","5","4","5","4"
"11","Radio assembly task","1","2","1","1","5"
"12","Recall word lists","1","5","4","5","1"
"13","Room assignment task","1","2","2","1","4"
"14","Run a mini business","1","5","1","1","4"
"15","Space Fortress","1","2","2","5","4"
"16","Target Search","1","2","1","1","5"
"17","The Fish game","1","4","4","4","5"
"18","The maximum of a function","1","4","4","3","5"
"19","The N light bulbs game","1","4","4","4","5"
"20","Wildcat Wells","1","2","4","4","4"
"21","Word completion given part of word","1","4","4","3","4"
"22","Word construction from a subset of letters","1","4","4","5","5"
"23","Advertisement writing","2","3","1","2","4"
"24","Allocating resources to programs","2","3","5","2","3"
"25","Architectural design task","2","2","1","2","4"
"26","Desert survival","2","3","1","2","3"
"27","Manipulation (change object to goal state)","2","3","1","1","4"
"28","Moral Reasoning (Disciplinary Action Case)","2","3","5","2","5"
"29","Organization Game","2","3","4","1","4"
"30","Shopping plan","2","2","5","2","4"
"31","Summarize Discussion","2","3","5","5","5"
"32","Trivia Multiple Choice Quiz","2","3","5","2","3"
"33","Writing story","2","3","1","2","5"
"34","Aerospace Investment (Role-playing)","3","2","5","1","4"
"35","Best job candidate (hidden-profile)","3","2","3","2","3"
"36","Biopharm Seltek","3","5","5","1","3"
"37","Bullard Houses","3","4","3","1","3"
"38","Energetics Meets Generex","3","2","5","2","3"
"39","Investment game (hidden-profile)","3","2","5","1","3"
"40","Minimal Group Paradigm (study diversity)","3","2","5","1","3"
"41","New Recruit","3","3","5","1","3"
"42","pharmaceutical company (hidden-profile)","3","2","5","1","3"
"43","Search for Oil Task","3","4","5","1","3"
"44","Strike Group Defender (developed by Metateq, Inc.)","3","2","1","1","3"
"45","TOPSIM - general mgmt business game","3","2","5","1","5"
"46","Viking","3","2","5","1","3"
"47","9 Dot Problem","4","5","2","4","2"
"48","Abstract grid task","4","5","1","4","1"
"49","Blocks World for Teams","4","5","4","3","1"
"50","Carter Racing","4","5","1","4","2"
"51","Estimating geological metrics","4","5","1","4","3"
"52","Estimating pages of a book","4","5","4","4","5"
"53","Find the maximum","4","5","1","3","2"
"54","Forecasting and Estimation in Groups, with Confidence","4","2","1","3","2"
"55","Graph coloring task","4","4","2","4","2"
"56","Image rating","4","5","4","3","5"
"57","Judgment of product and slogan","4","5","4","4","5"
"58","letters-to-numbers problems (cryptography)","4","5","4","4","2"
"59","Logic Problem","4","5","1","3","3"
"60","Rank cities by population, rank words by familiarity","4","5","1","1","5"
"61","Ravens Matrices","4","5","1","3","5"
"62","Reading the mind in the eyes","4","5","4","3","2"
"63","Recall images ","4","5","3","3","4"
"64","Recall videos","4","5","1","3","2"
"65","Splitting a deck of cards","4","5","4","3","2"
"66","Sudoku","4","5","1","4","5"
"67","To evacuate or not to evacuate","4","5","2","1","3"
"68","Unscramble words (anagrams)","4","5","4","4","2"
"69","Wildcam Gorongosa (Zooniverse)","4","5","1","3","2"
"70","Wolf, goat and cabbage transfer","4","2","5","4","2"
"71","Battle of the sexes","5","4","3","4","4"
"72","Chicken","5","2","3","1","1"
"73","Dictator game and its variants","5","4","3","3","1"
"74","Guessing numbers","5","2","2","1","5"
"75","Intergroup Prisoner's Dilemma-Maximizing Difference","5","3","2","1","3"
"76","Iterated Snowdrift Game (aka Hawk-Dove game)","5","3","2","4","1"
"77","Oligopoly game","5","5","3","1","1"
"78","Railroad Route Construction game","5","1","2","4","1"
"79","Random dot motion","5","2","1","4","1"
"80","Recall association","5","4","4","5","1"
"81","Sequential dyadic die-rolling","5","4","4","4","3"
"82","The beer game","5","2","2","1","4"
"83","Ultimatum game (various versions)","5","3","3","4","1"
"84","Volunteer Investment Game","5","4","3","1","1"
"85","Whac-A-Mole","5","2","2","3","1"
