_id,playerId,gameId,createdAt,data.age,data.gender,data.strengthInGame,data.payFair,data.feedbackOpenEnded,data.feedbackMultipleChoice,data.education
fBxP6QHAcKcwcppi6,j7EKLje5parmqFvda,9qn6LAzd4Fs9nf2KD,2023-04-10T15:56:50Z,52,female,I love sudoko it was my strong point.,yes,Round 5 I could not type in the box at all.  I wrote some stuff in the comment box but I got errors about cookies and even reloading the page did not fix it,Yes,master
5a9BpEBgRJaPk3QBG,FXnRmodqLrSoPLRB7,gYTtk59jtwRXsoREL,2023-04-10T16:05:34Z,35,Male,Good,Yes,Very nice and funny,Yes,master
vyv6qX6im2d7jgEgg,Cwz56FtqaQa5jRh9z,gYTtk59jtwRXsoREL,2023-04-10T16:05:44Z,39,female,Medium,yes,,Yes,high-school
s3MjYSsTj6Rser8cL,EAwRNnS84DWeu2Pkf,gYTtk59jtwRXsoREL,2023-04-10T16:05:46Z,35,Male,Filling in gap,Yes,it was fun,Yes,bachelor
796rKWBtv6YHfkdpo,WHEXP5ENPnKysvBXP,gYTtk59jtwRXsoREL,2023-04-10T16:07:07Z,42,non-binary,"I felt like our team needed someone a little more outspoken to ""lead"". I didn't recognize this until very late in the game. Mechanically I feel I was a strong contributor.","Yes, the pay was fair.","The notice came just as the activity was beginning. I happened to be free, but advance notice would be helpful to clear schedules if needed.",Yes,high-school
RdXo2c38NPfo4PSGw,DQw5Z2Qbr8ihaZWXn,gYTtk59jtwRXsoREL,2023-04-10T16:10:22Z,59,F,"I was a lot better at sudoku, because I'm used to doing that. Everybody seemed good at that. The open ended one was the hardest, and it was kind of hard to coordnate with that many other people on the boat thing.",Yes. And it was kind of fun.,"The experience was fine, but i thought it was supposed to happen the other day at 1 oclock lol.",Yes,high-school
r5x8Lh8M22sxEA6M3,Bnyot5jyRTfaLjWov,X3ANwS9XKSNRGAw2N,2023-04-10T16:15:06Z,43,Male,I think I was good in few games and very weak in few.,Very fair.,,Yes,bachelor
rr3ujMkiDCrGEj64J,Jeuk3i6gh8Cqq7TYv,ZRGmT3pjLMGyvZvZe,2023-04-11T13:05:12Z,43,female,Did not get to play.,I would have liked to have an opportunity to try for the bonus. ,"It said ""waiting for others"" to start the first round, the timer went down to zero, and nothing ever happened.  I refreshed a couple of times but there was no progress. ",No,high-school
4xP8S7ykgf6c9Su9P,JXZgNk2yDu6ipDf4b,wETSnF98NhgYZz7uM,2023-04-11T13:08:37Z,41,Male,there was no game,there was no game,The game never loaded. It counted down to zero. Waited while for other players. No other players or screen change.,No,high-school
F3mnu57Cgn7oBtxT6,ZquNzGySsHkizZb8w,ZRGmT3pjLMGyvZvZe,2023-04-11T13:09:08Z,36,f,n/a,n/a,Idk if there were technical issues or what but my group couldn't get out of the first intro before the practice round. Having a timer hit zero then spend five minutes after waiting around with no indication what you actually need to do besides wait is confusing esp since you don't know if anyone bounced or had technical issues. Having a chat option up front could help but overall I couldn't do the experiment because I had no idea what was going on and had to cut bait.,No,bachelor
NuSLZFBQv5XDNyAbd,XTMd2a7PJf3Ab7d3L,ZRGmT3pjLMGyvZvZe,2023-04-11T13:09:45Z,39,Male,"Didn't progress beyond ""waiting for players"".",Yes,"Didn't progress beyond ""waiting for players"".",Yes,bachelor
hk_30ff6d0cc7af3c39,3AvHXvC7JS7uQQoKB,wETSnF98NhgYZz7uM,2023-04-11T13:12:18Z,60,female,n/a,,The game never started.  It just froze at the waiting for other players on the instruction page. ,No,other
FrkJE2MQrtxzgKEur,mZBKWnuLEh2hLXKbk,ZRGmT3pjLMGyvZvZe,2023-04-11T13:17:11Z,45,F,I never got to play the game.,Yes. ,We never got to game one. It sat on the same screen saying waiting for other players and didn't move. I am disappointed that the game never began. Thanks for the opportunity.,No,high-school
jqdRecp557bmNzdkQ,ddRBmvwoeaG9kgdyn,JYtMRAJG3znj8NpaC,2023-04-11T18:50:54Z,30,Female,Fairish. I messed up on some of them and didn't finish most of the sudoko puzzles but in my defense those were hard to finish in the time limit so I don't think I did totally terrible,"Yes, pay is fair.","I feel like the timer on the instructions were kinda short, an extra minute would have been nice for some of them. Other than that I have no complaints.",Yes,high-school
dHkoJiqtQFig8wjwE,EKwmZXrYDTLnCpZTo,u5gwmjDhxDxSsJ4Zn,2023-04-11T20:15:38Z,50,male,,,notified by email.  error during execution. could not type in answer to questions.,No,high-school
rtDZeHRYKTiqeMYTw,ShPTn7xAmjThaD9jK,osFZzZdH7aDYMZuc9,2023-04-11T20:45:18Z,31,male,very high,yes,everything ok.,Yes,high-school
JFExJGnK62hjJPBaa,Fn9mgby2azxssrmZo,jvqriSwgFJrhsxAW3,2023-04-11T21:00:32Z,,,,,,No,
7J6kCwBtcjrYzgqmW,WmWB4sBS92hbCargd,jvqriSwgFJrhsxAW3,2023-04-11T21:01:50Z,41,Male,We will discuss and finalize the statement and words. It's full of team discussion.,Yes.,I have enjoyed well while doing this task.,Yes,bachelor
ZKzwgMYd2BuSmpQLY,Lp5jAkCp9hA6oTN3W,jvqriSwgFJrhsxAW3,2023-04-11T21:03:10Z,38,Female,I don't think I had any strenghts.,"I think it was, mostly because I found the game very funny if not frustrating at times. I was nice to have to interact with strangers and work togheter to a solution",,Yes,high-school
tTRFRdhPwqo2ez9X6,xQgp3GeT3Nc9LD2cQ,u5gwmjDhxDxSsJ4Zn,2023-04-11T21:04:31Z,39,male,"I was pretty good, above average I would say.",yes it was.,This was a very nice little game and definitely worth the time spent!,Yes,high-school
Sx5vwNbf8iKE23zQX,vh4tSkhLeiMaazKuR,u5gwmjDhxDxSsJ4Zn,2023-04-11T21:04:58Z,30,Male,When I lock myself in a category I think fast,"Depending in my variable bonus pay it will range from ""slight bad"" to ""good""",,Yes,bachelor
p97PaXWSpdraqxe7q,NxfTyxKnPKoWti2YT,u5gwmjDhxDxSsJ4Zn,2023-04-11T21:05:31Z,39,Man,"I came up with a lot of words. \n\nHere is my worker ID. I don't think you ever collected it:\n\nABLXAMHV1IQD5","I don't know how much I have earn yet with the ""Potential Bonus""","It takes a long time, but it was kind of fun\n\nHere is my worker ID. I don't think you ever collected it:\n\nABLXAMHV1IQD5",Yes,master
qedmw5T8SBznpGoy2,5wJpBd34YYCnnw6zs,u5gwmjDhxDxSsJ4Zn,2023-04-11T21:06:07Z,55,Female,I was not as fast as the other players to come up with answers and ideas. I think I was better as providing reasoning.,"Yes, pay was very fair.",I enjoyed working with others. I took a little while for me to realize we should use the chat box intead of the commnet box to communicate.,Yes,bachelor
hk_25b96381e471fdf6,tG2JxbAPg3tGyc3wM,u5gwmjDhxDxSsJ4Zn,2023-04-11T21:08:21Z,33,Male,I'm a good listener and consensus-driven in my decision-making. Thank you! ,"Yes, thank you!",It was very engaging and mostly straightforward. Thank you!,Yes,bachelor
fRknkeZBCYeJN42Mj,iGBiyTjfmsqjdg9Fp,dPgLHytTkMz3F3BQe,2023-04-12T14:46:43Z,34,Female,"I think I did well in the first ones, but in sudoku I'm not very fast",I think it's a good pay value,I did not have problems,Yes,high-school
oLrduwJ8EEb2asoi6,7pJ3CthPv8BHwPr6D,BdErQ3GcW8cmg8Q7h,2023-04-12T14:56:01Z,30,female,logical and help lead team,yes up to game 4,game 3 needed an example as it was hard to understand fully,Yes,bachelor
6gHMAAh28jgbEEmeW,jfHCiqcobGQFcyoRQ,BdErQ3GcW8cmg8Q7h,2023-04-12T14:56:06Z,25,male,"I was strong, I felt I could contribute in the best way, and my group was collaborative",yes,none,Yes,high-school
FcXukmujhKdf4Mnyn,5FoAEAjmmMhYtRG8r,BdErQ3GcW8cmg8Q7h,2023-04-12T14:56:26Z,41,male,i did my part well as per my knowledge and accept the moves from my team members also,yes it was really worth ,"The overall survey was really interesting ,Happy to be the part of this",Yes,bachelor
xDPgt9WSTXBbxdCu3,67seMtxuaLpJmzHpr,vYPt9WKvXjbNXsXX5,2023-04-12T14:57:34Z,46,male,conversation and encouragement,yes,na,Yes,bachelor
wuAcvrTwGgryphMpi,F3jzvtdgmwRKBReYm,BdErQ3GcW8cmg8Q7h,2023-04-12T14:58:11Z,45,Female,"I generally helped my team, especially in the first games. I just couldn't help with Sudoku as I have no skills in this game, but the team tried their best.","Yes, very fair.","Everything went well during the task, I liked it. The e-mail notifications were always given just before the experiment, this made it difficult to enter past sessions, but I managed to keep an attention on the e-mail and enter this session.",Yes,bachelor
7xr7YdxFrAR3vvDo4,TtNGZqNm5d7YwwZx8,vYPt9WKvXjbNXsXX5,2023-04-12T14:58:32Z,37,female,I think it was moderate.,The pay will be fair if I got a very good bonus.,The experience was really good and I enjoyed it.,Yes,bachelor
55BxrnssCTMpd8D99,qFc4EyRmKiot4t6CR,BdErQ3GcW8cmg8Q7h,2023-04-12T14:58:35Z,39,male,normally fast after couple of rounds ,pay was fair ,good and entertaining . it will be more suitable for me if the timing of the task is bit early . thanks,Yes,bachelor
