_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
cjpZ42qGmXR7mTEBB,1,complete,true,2024-04-19T15:32:51Z,,cancelled,,"rzbH3gpi7gf8YTpSH,Rdmb3Qqx5WYpYdATq,ZtqiBB93D2hyaSFiY",2024-04-08T18:00:40Z,2024-04-20T18:16:15Z
E69YyA3NBTXGufoNx,2,complete,true,2024-04-19T15:32:55Z,,cancelled,,"fdexB3xArQ6WpoMz3,RSYYRR3vKjNBE6qua,L6vwDwAMH3CGBq78e",2024-04-08T18:01:52Z,2024-04-20T18:16:16Z
tDZyL4yPBDaaRLgJh,3,complete,false,2024-04-19T15:32:56Z,,cancelled,,"F9X33fDBibbC8e8WL,se8rimxodKaAxBDn6,aeSvJJCTC8b5HS2ty",2024-04-19T15:32:05Z,2024-04-20T18:16:16Z
eK4Xvxda7AuECmj2q,4,complete,true,2024-04-19T16:45:12Z,,cancelled,,5y7cNQf58QZuNWcwH,2024-04-19T16:45:10Z,2024-04-19T16:51:45Z
LeWYJ4C9HSDkMntoB,5,complete,true,2024-04-19T16:50:23Z,2024-04-19T16:51:39Z,finished,,2KGjvTzjy535qiKAr,2024-04-19T16:50:22Z,2024-04-19T16:51:44Z
h6RXr5asqLwe9jj73,6,complete,false,2024-04-19T16:58:57Z,,cancelled,,"SGqrY8upisghFZ59w,Beikwgj9ANeydnQtf,PLrJgqKYxhfmnYozo",2024-04-19T16:58:55Z,2024-04-19T17:02:58Z
kg3ZiAxmdTEkaTfvC,7,complete,true,2024-04-19T17:09:48Z,,cancelled,,"XJk2MMf2s35g83b7n,ZxcGLZAf7tAbWxRvR,9uYcuEpMjQB4WYxGF",2024-04-19T17:09:47Z,2024-04-20T18:16:17Z
Zkkp78yqwPzmQRQLT,8,complete,false,,,cancelled,,"BPQGdzhPssSLngTfP,hk_51c46e656f059f67,fvYWhSgkvh75m3d6S",2024-04-19T18:10:16Z,
vFYCM9urdWaBmcyfT,9,complete,false,2024-04-19T18:11:20Z,,cancelled,,"aHpSvQf4jru2mc3c3,havwpYNyYZ9ZbjrY2,67Puh2q6ZgH5S4f3a",2024-04-19T18:10:49Z,2024-04-19T18:12:03Z
bXxd2rA7PZvaGzZWT,10,complete,true,2024-04-19T18:12:07Z,,cancelled,,"uJaftnJmdLwQ6H775,rkWHNxrSJ3Ei69Kt6,sNe9StiJuBcMecb5d",2024-04-19T18:12:02Z,2024-04-20T18:16:18Z
CznLebXrfskhRBy6E,11,complete,false,2024-04-19T23:53:08Z,,cancelled,,"4e654YAmiZWNghTGD,o9ZdLtD6aGc5LE7kS,DH4gqbF5f8dSKzHQN",2024-04-19T23:53:06Z,2024-04-20T18:16:19Z
YszG3M7wu8GqtWJrK,12,complete,false,,,cancelled,,"e2dRyAkTX7eEfznKi,NmsxfGKYePkoXpjnq,6n4gA8nkjEPLNaPXk",2024-04-20T00:04:02Z,2024-04-20T00:09:55Z
EMsQhixmkxQshu5XM,13,complete,false,,,cancelled,,"hGtyb2huT4QhgPkuS,8uS4hCmrNQ6rkRah5,nLBswJGKMHyk6TeAj",2024-04-20T00:04:05Z,2024-04-20T00:09:57Z
9FDxz6XJ2wo3qmZ4T,14,complete,false,,,cancelled,,MKHT8eAzHrQahZjrQ,2024-04-20T00:09:49Z,2024-04-20T00:09:57Z
EF439jSZ6a6z7MosM,15,complete,false,2024-04-20T00:10:50Z,,cancelled,,"umoqtmDzSTQiGNF3A,NSQCjkK7oNEmNN5ZA,6Yg4nfvjFCgT6REC3",2024-04-20T00:10:22Z,2024-04-20T18:16:21Z
emD4wpLfpocWfwJvt,16,complete,false,2024-04-20T00:10:51Z,,cancelled,,"PQ9TdzgTJmz2XHizs,4yLkeMeHnRxCEGmgz,kZpEBfMh5GAgqHsFR",2024-04-20T00:10:23Z,2024-04-20T18:16:21Z
HC8qgJKscRz7CQ8u2,17,complete,false,2024-04-20T14:45:56Z,,cancelled,,"3epXP4Y5ugkWYjNTe,PNfPvibxbw5MXwhpB,XSf4cHToqNRtjxGqA",2024-04-20T14:44:07Z,2024-04-20T18:16:22Z
hkY2pGRcibzPXw4sT,18,complete,false,2024-04-20T14:45:57Z,,cancelled,,"khG6ws9Aw39jemcuj,cF3muLatAPdwciWMs,LrQLhYvu886KTrRuA",2024-04-20T14:44:10Z,2024-04-20T18:16:23Z
r2nojwMWKMNivLYCh,19,complete,false,2024-04-20T14:45:58Z,,cancelled,,"k37rfdazexKXb4iDC,uzJvRjrdEqmPGbSkM,t7xBGHGNoMYe59Q9H",2024-04-20T14:44:14Z,
v7pakMMj4imjyfw2h,20,complete,true,2024-04-20T18:17:17Z,2024-04-20T19:16:33Z,finished,,"hk_cf6b348153bd5e34,7Z62pHCjiNXdxhuwb,yovo3RcCBPE9ck6gr",2024-04-20T18:16:24Z,
2hezRZnX9Xx5NjWwR,21,complete,true,2024-04-20T18:17:18Z,2024-04-20T19:34:48Z,finished,,"3QTGcbLweCuLpSvgT,sYmnLEY99hJd9HxJ8,t4KoEW4aLwGh2ytin",2024-04-20T18:16:26Z,
LBjF8tSCZ2yCsgriy,22,complete,false,2024-04-20T18:17:18Z,,cancelled,,"EyqLdSTTuPbQKb7dX,XvBjbaJZab2FyYYwh,rKoRKePL6bJhHgvGW",2024-04-20T18:16:27Z,
EJutgAawRSm2iD84T,23,complete,true,2024-04-22T13:31:19Z,2024-04-22T14:39:27Z,finished,,"i6odH2j4TQ2jrPetH,kQocmc6EuQw7SBRYy,HGbPCT3dyrEACpPqo",2024-04-22T13:29:41Z,
9zBmEpf7gkTjH36YT,24,complete,true,2024-04-22T13:31:20Z,2024-04-22T14:42:34Z,finished,,"vRWAwjmTFPMf5mJGo,uDqcgecgytLxxs7c3,F33ksqCfNxGF3v87b",2024-04-22T13:29:42Z,
kyDiHejbydrzKzFmm,25,complete,true,2024-04-22T13:31:21Z,2024-04-22T14:29:49Z,finished,,"aBfRFHvtXzSJ8YC86,bDssNvaDkc4Rfubq8,vZotrcHHJQdDRznyG",2024-04-22T13:29:43Z,
JyJqjCGxMH7McfHdj,26,complete,true,2024-04-22T14:55:15Z,2024-04-22T16:06:07Z,finished,,"xsNXxFMngp5kyqaNp,XQbGixwcr8ysHQp3v,bssiYnskJFG9K7CSf",2024-04-22T14:55:12Z,
DDg4GdGCzySFDgGwf,27,complete,true,2024-04-22T14:55:16Z,2024-04-22T16:05:49Z,finished,,"CJnHBmP4gtDfpReFi,57JBWvLMjkzXLYvGx,hZof56eeZ7tTaPcWK",2024-04-22T14:55:13Z,
FAs8JpPeLQQmiew4Q,28,complete,true,2024-04-22T14:55:17Z,2024-04-22T16:30:42Z,finished,,"eXFGPZv4BAn2z3yzK,Wr9mtbvTx5Zb6qqMc,xTX5xzEvtebxqa9Sd",2024-04-22T14:55:14Z,
