_id,playerId,gameId,createdAt,data.synergyPreference,data.teamViability,data.enjoyedTask,data.age,data.gender,data.strengthInGame,data.payFair,data.feedbackOpenEnded,data.feedbackMultipleChoice,data.education
S67P2n6P6HJK3L6ZQ,RmnPuu66dZEwv26oS,4NNivRFCpqScA3pGp,2024-04-25T19:00:45Z,individual,false,disagree,,,,,It never loaded for me!  I could see that the game was progressing and send chat messages but that was it!,No,
fyZyxAPSMwsTc4xRa,RmnPuu66dZEwv26oS,4NNivRFCpqScA3pGp,2024-04-25T19:01:57Z,,,,49,Female,I don't know.  I never got to play. ,"I'm not sure how much I'm getting if any, so I'm not sure.  I'd like to try again!",,,master
vqbq6mBejkPQDKc9o,X47NvuzB3DRrXabrk,sKnRr9dR4SEQP4c9F,2024-04-25T19:02:36Z,individual,true,disagree,,,,,,No,
KPz2XQb7vMqTZGz7Y,X47NvuzB3DRrXabrk,sKnRr9dR4SEQP4c9F,2024-04-25T19:02:53Z,,,,36,female,,,,,bachelor
hdZ997D8y7DBw9Nf6,3rnDziGokNwxBXdES,2dWrbaed8XqyvB6i7,2024-04-25T19:18:35Z,individual,,strongly agree,,,,,Interesting and engaging. ,Yes,
nYNmbQhGTP3GkbDPG,3rnDziGokNwxBXdES,2dWrbaed8XqyvB6i7,2024-04-25T19:19:12Z,,,,61,female,poor,yes,,,high-school
HFcxJL5z2oypgid2G,L8LLBEXDNZW7xafX3,2NBtcGKuvN5Hff8ep,2024-04-25T19:27:57Z,team,,agree,,,,,Nothing,Yes,
Pbfbdvfu4uZBgoj8E,L8LLBEXDNZW7xafX3,2NBtcGKuvN5Hff8ep,2024-04-25T19:30:05Z,,,,40,Male,"Words: memorizing as many as I could, trying to make a story with them.","100%. I forgot to say before: The crossword for the oil experiment wasn't clicking where I wanted it to be, not sure if that was intentional.",,,other
SJoqH9gYdgfHKHRYs,DNWMABcP6SeXeaa6S,7TxuM2zajt4mhEXRY,2024-04-25T19:30:29Z,individual,,agree,,,,,no,Yes,
oSuz8vzD68Ni7A4HC,DNWMABcP6SeXeaa6S,7TxuM2zajt4mhEXRY,2024-04-25T19:31:30Z,,,,50,female,I don't feel I was very strong in this game. I was not good at all with coming up with slogans because I am not creative,yes,,,bachelor
kKmTS5Sr3PxuzStkT,7Er7PfRwRM55FSSA7,qbsLZCPJE8LEAKtfL,2024-04-25T19:32:40Z,team,true,agree,,,,,No,Yes,
GrZmkZDLuasKrMZ6j,bbTLoWQcLarwFiWmG,qbsLZCPJE8LEAKtfL,2024-04-25T19:32:52Z,team,true,agree,,,,,,Yes,
KrgLMpfEuixdFYDvM,turhjKzSJxgMtwxFx,qbsLZCPJE8LEAKtfL,2024-04-25T19:33:05Z,team,true,strongly agree,,,,,none,Yes,
