task,stage,editors,mappers
5 squares problem,2 mappings,dodgehill -> joycewang3,Dodge + joycewang3
Estimating social quantity,2 mappings,bvikram03 -> katelynbottcher,Karan + Vikram
NASA Moon survival,2 mappings,katelynbottcher -> dodgehill,Dodge + Katelyn
Conformity game,1 mapping,paniukhina -> dodgehill,Arina
reproducing arts,1 mapping,katelynbottcher  -> andydrew93,Katelyn
Visual Oddball Target,1 mapping,paniukhina -> katelynbottcher,Arina
Apache helicopter flight simulator (Longbow2),phase 2,bvikram03 -> KaranSampath,"NA"
Creative uses of objects,phase 2,vivianxdx -> bvikram03,"NA"
decrypt words/sentences,phase 2,AshleyFe -> bvikram03,"NA"
Guessing the correlation,phase 2,bvikram03 -> KaranSampath,"NA"
Investment Game (aka Trust Game),phase 2,andydrew93 -> Rafael Gehrke,"NA"
Prisoner's Dilemma (various versions),phase 2,dodgehill -> joycewang3,"NA"
Sender-Receiver game,phase 2,andydrew93 -> vivianxdx,"NA"
Sub-arctic survival,phase 2,,"NA"
Typing game,phase 2,andydrew93 -> katelynbottcher / joycewang3,"NA"
Arithmetic problem 1,phase 1,katelynbottcher -> ,"NA"
Arithmetic problem 2,phase 1,katelynbottcher -> ,"NA"
Arithmetic problem 3,phase 1,katelynbottcher -> ,"NA"
Arithmetic problem 4,phase 1,katelynbottcher -> ,"NA"
Computer maze,phase 1,katelynbottcher -> ,"NA"
who committed a murder (hidden-profile),phase 1,sarikasu -> ,"NA"
