task,playerCount,strong,weak,Low,Medium,High,wave,Uncategorized_cat,Within-System Solution_cat,Decision Verifiability_cat,Maximizing_cat
Allocating Resources,3,0.7033048054849464,1.2282629775680391,1,0,0,1,1,0,0,0
Allocating Resources,6,0.5924926296019454,1.1638661939263142,1,0,0,1,1,0,0,0
Allocating Resources,3,0.7786720694291456,1.4220910138248843,0,1,0,1,1,0,0,0
Allocating Resources,6,0.5177999359079735,1.0989010989010985,0,1,0,1,1,0,0,0
Allocating Resources,3,0.7802684209684303,1.2196512025532888,0,0,1,1,1,0,0,0
Allocating Resources,6,0.6544881717391159,1.1144332699103021,0,0,1,1,1,0,0,0
Divergent Association,3,0.973180857723818,1.188184576673135,1,0,0,1,1,0,0,0
Divergent Association,6,0.8950293134156709,1.1286250025138092,1,0,0,1,1,0,0,0
Divergent Association,3,0.9988199565185537,1.1653344435769866,0,1,0,1,1,0,0,0
Divergent Association,6,0.9902098471776409,1.184648777979572,0,1,0,1,1,0,0,0
Divergent Association,3,0.997851229567418,1.1888503214974502,0,0,1,1,1,0,0,0
Divergent Association,6,1.007015428484322,1.2223756628365057,0,0,1,1,1,0,0,0
Guess the Correlation,3,0.9660110385515345,1.3561497326203207,1,0,0,1,1,0,0,0
Guess the Correlation,6,0.9487329862599596,1.4591630591630593,1,0,0,1,1,0,0,0
Guess the Correlation,3,0.7388547989393351,1.03167991038611,0,1,0,1,1,0,0,0
Guess the Correlation,6,0.6643665120005976,1.0383409428461414,0,1,0,1,1,0,0,0
Guess the Correlation,3,0.9204144727180245,1.271275756523934,0,0,1,1,1,0,0,0
Guess the Correlation,6,0.8959889880945521,1.3698947124840912,0,0,1,1,1,0,0,0
Logic Problem,3,0.9884263358479249,1.228587130646274,1,0,0,2,0,1,0,0
Logic Problem,6,0.9604226730165404,1.2329060698541878,1,0,0,2,0,1,0,0
Logic Problem,3,0.9701127312530234,1.2186041100074172,0,1,0,2,0,1,0,0
Logic Problem,6,0.8949479726853689,1.2052298608182204,0,1,0,2,0,1,0,0
Logic Problem,3,0.9469478782715862,1.2358306945937307,0,0,1,2,0,1,0,0
Logic Problem,6,0.8677060145371053,1.2555686604886265,0,0,1,2,0,1,0,0
Moral Reasoning,3,0.72073301596433,1.0267505900865457,1,0,0,1,1,0,0,0
Moral Reasoning,6,0.7618210575995088,1.1757348342714193,1,0,0,1,1,0,0,0
Moral Reasoning,3,0.5892668146433514,0.815428273585452,0,1,0,1,1,0,0,0
Moral Reasoning,6,0.7255883007207679,1.0854445109382274,0,1,0,1,1,0,0,0
Moral Reasoning,3,0.6658878323447299,0.9740027428298846,0,0,1,1,1,0,0,0
Moral Reasoning,6,0.6755680586421532,1.072088724584103,0,0,1,1,1,0,0,0
Putting Food Into Categories,3,1.1429716461276425,1.719626168224299,1,0,0,3,1,0,0,0
Putting Food Into Categories,6,1.606874943928007,2.8528037383177565,1,0,0,3,1,0,0,0
Putting Food Into Categories,3,0.9701224484762156,1.399097356544165,0,1,0,3,1,0,0,0
Putting Food Into Categories,6,1.6590797244094488,2.767857142857143,0,1,0,3,1,0,0,0
Putting Food Into Categories,3,1.0652368185880248,1.6931818181818183,0,0,1,3,1,0,0,0
Putting Food Into Categories,6,1.5343744903311691,2.9464285714285716,0,0,1,3,1,0,0,0
Random Dot Motion,3,0.9478187063624329,1.0182345988447086,1,0,0,2,1,0,0,0
