StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,task-name,GitHub-id,stimulus-complex,goal-directives,skills,ui-ux,allowed-gr-proc,GitHub-link,files-images-1_Id,files-images-1_Name,files-images-1_Size,files-images-1_Type,files-images-2_Id,files-images-2_Name,files-images-2_Size,files-images-2_Type,files-images-3_Id,files-images-3_Name,files-images-3_Size,files-images-3_Type,external-resources
2022-02-28T01:31:00Z,2022-02-28T01:35:00Z,Imported,71.230.175.0,100,240,TRUE,2022-02-28T03:26:07Z,R_3aaKDXARt8gEu4S,NA,NA,NA,NA,39.94859313964844,-75.23390197753906,anonymous,EN,Word completion given part of word,joycewang3,"A set of 36 words with 2-3 letters missing (ex."" _ ech_ _ que"" would be ""technique"")",To complete as many words as possible,"Teamwork, English words familiarity","see the word sets, type in words and submit answers",N/A,https://github.com/Watts-Lab/task-mapping/blob/3d4c4cc62fa3fee87ecc64c50b51e0ecd874a6b5/tasks/Word%20completion%20given%20part%20of%20word.md,NA,Screen Shot 2022-02-27 at 20.34.41.png,84017,image/png,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-16T06:26:12Z,2022-02-16T06:52:59Z,Imported,73.81.112.249,100,1607,TRUE,2022-02-28T03:26:07Z,R_3meH88KC9KALKBM,NA,NA,NA,NA,39.74580383300782,-75.58100128173828,anonymous,EN,Ravens Matrices,xehu,"Participants are presented with a pattern, which usually looks like a matrix or grid with a white background. There is a missing piece to the pattern.","The goal is to complete the pattern by identifying what the missing piece should be. The problem is multiple-choice, so participants will choose just one correct answer from a variety of options.","Pattern recognition, Visual reasoning, and Spatial reasoning","Clicking and dragging the puzzle piece, Clicking the correct answer, (Varied) Either looking at the problems one at a time or separately, (Varied) Either having group members look at different questions, or having everyone in a group solve the same questions",The level of difficulty for the items can be manipulated.,https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Ravens%20Matrices.md,NA,Example.jpg,49904,image/jpeg,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-16T06:56:46Z,2022-02-16T07:32:39Z,Imported,73.81.112.249,100,2152,TRUE,2022-02-28T03:26:07Z,R_5jo6GJ7l8dcg8ES,NA,NA,NA,NA,39.74580383300782,-75.58100128173828,anonymous,EN,Euclidean traveling salesperson,xehu,"Participants get a map with multiple cities, which are displayed as dots on the screen. These dots can be connected by different “paths” by clicking on two dots one after the other. For example, clicking on point A, then point B, would draw a “path” between A and B.","The goal is to find and select a sequence of cities corresponding to the shortest possible path to traverse through all of the cities, forming a cycle (or loop). In other words, the participant should click through the dots in a sequence, thus drawing a path that touches every city exactly once, and the first city twice: you can think of it as a “traveling salesman” who visits each city on the map before returning to his home city. Imagine that the shortest path involves going from A, to B, to C, to D. In that example, the participant’s goal would be to find this path, and then click the cities in that order: A, B, C, D, A.","Creative thinking, analytical thinking","Clicking city icons in order select the “path,” with the ability to select the next segment only after the previous segment had been selected,
Viewing previous solutions to the problem (optional),
Attempting the same map multiple times (optional),
Viewing a score of how well they are currently doing (optional),
Attempting multiple different maps, in sequence.","In multiplayer mode, there can be multiple ways to implement the experience: it is possible for all players to look at the same map and select paths simultaneously; perhaps the system could then submit the best answer. Alternatively, only one person would be able to select the pathway at a time.",https://github.com/Watts-Lab/task-mapping/blob/master/tasks/Euclidean%20traveling%20salesperson.md,NA,Screen Shot 2022-02-16 at 1.57.45 AM.png,692249,image/png,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-22T01:36:50Z,2022-02-22T01:45:08Z,Imported,73.81.147.65,100,498,TRUE,2022-02-28T03:26:07Z,R_5orIfThLDVRAB5c,NA,NA,NA,NA,40.01719665527344,-75.08830261230467,anonymous,EN,9 Dot Problem,sarikasu,Participants are given a grid of nine dots,Participants must connect all nine dots,"No more than four lines can be drawn, no retracing","Shared view of dot problem where people can see others moving/playing with lines on the grid, chat box to allow for communication, error message when grid is not solved for",NA,https://github.com/Watts-Lab/task-mapping/blob/cd6b4fb8b564192bafa8c15e538c9bef09489224/tasks/Nine%20Dot%20Problem.md,NA,9_Dot_Problem.png,19881,image/png,NA,9_Dot_Problem_Solution.png,45420,image/png,NA,NA,NA,NA,NA
2022-02-20T23:59:47Z,2022-02-21T00:50:55Z,Imported,71.230.175.0,100,3068,TRUE,2022-02-28T03:26:07Z,R_8iWSWbG7lHyxfuK,NA,NA,NA,NA,39.98429870605469,-75.22660064697266,anonymous,EN,Moral Reasoning (Disciplinary Action Case),joycewang3,"A fictitious, controversial case in which a college basketball player bribed an instructor to change his grade on an exam, to maintain his eligibility on the team.",To agree on one choice from a list of alternatives for each issue having to do with the treatment of the athlete and the instructor.,"Moral judgment, reasoning ability",Subjects were asked to fill out a form indicating their choices,"Issues of choice are as follows:
1. Student's Grade
2. Student Suspension
3. Student's Basketball Team
4. Instructor Punishment
5. Instructor Future Position",https://github.com/Watts-Lab/task-mapping/blob/7926cba5ccf2ede48756036132dd0f81cb0ff8c1/tasks/Moral%20Reasoning%20(Disciplinary%20Action%20Case).md,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-24T16:59:16Z,2022-02-24T17:06:03Z,Imported,68.83.242.219,100,407,TRUE,2022-02-28T03:26:07Z,R_9FTNiqbnqc5o6sS,NA,NA,NA,NA,39.95199584960938,-75.181396484375,anonymous,EN,Summarize Discussion,sarikasu,"For this task, participants are given a discussion statement about a specific topic. The statement may be a question like ""what makes for success in our culture""",Participants are asked to discuss the statement and submit responses to the discussion statement.,"critical thinking, creative thinking, listening skills, reasoning skills, comprehension skills (ability to summarize key points)","group chat, shared summary document that all participants can type/edit content in, video chat (optional)",The amount of time given for discussion could change,https://github.com/Watts-Lab/task-mapping/blob/cd6b4fb8b564192bafa8c15e538c9bef09489224/tasks/Summarize%20Discussion.md,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-28T01:35:59Z,2022-02-28T01:50:04Z,Imported,71.230.175.0,100,845,TRUE,2022-02-28T03:26:07Z,R_9nJGpcIiP7CN8X4,NA,NA,NA,NA,39.94859313964844,-75.23390197753906,anonymous,EN,Letters-to-numbers problems (cryptography),joycewang3,"A mapping where the 10 letters, A, B, C, D, E, F, G, H, I, J, were each randomly assigned without replacement to one of the 10 numbers, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9",The objective was to identify the mapping of the 10 letters to the 10 numbers in as few trials as possible.,"Math, logical reasoning, teamwork, collaboration","communicate with every group member, type in equations, receive feedback on the screen, submit the full correct coding","The explanation for the second image attached below: On the first trial the person chooses the equation A + B= and the experimenter tells the person that the solution to this equation is C. This is because A=3 and B=5, which sums to 8, the letter represented by C. The person then guesses that A represents the number 1 and the experimenter indicates that this is not the case, or False. On the second trial, the person asks the solution to the equation B + C= and is told that the answer is EA. This is because B=5 and C=8, which sums to 13 or EA.",https://github.com/Watts-Lab/task-mapping/blob/master/tasks/letters-to-numbers%20problems%20(cryptography).md,NA,coding.png,3940,image/png,NA,trials.png,14443,image/png,NA,NA,NA,NA,NA
2022-02-24T16:50:21Z,2022-02-24T16:58:22Z,Imported,68.83.242.219,100,481,TRUE,2022-02-28T03:26:07Z,R_9zwI6aPSz5NlLVk,NA,NA,NA,NA,39.95199584960938,-75.181396484375,anonymous,EN,Word completion given starting letter,sarikasu,Participants are given a starting letter and ending letter for words,The goal is to generate a list of words using the starting and ending letter provided,"creative thinking, strong vocabulary, focus","typing words on a shared screen, communication via chat about viable words, deleting words, editing list of words generated, viewing current score (optional)",NA,https://github.com/Watts-Lab/task-mapping/blob/cd6b4fb8b564192bafa8c15e538c9bef09489224/tasks/Word%20completion%20given%20starting%20letter.md,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-22T00:51:50Z,2022-02-22T05:00:41Z,Imported,165.123.224.217,100,14931,TRUE,2022-02-28T03:26:07Z,R_ac4llVvIcHOMZZI,NA,NA,NA,NA,39.95970153808594,-75.19950103759766,anonymous,EN,Allocating resources to programs,paniukhina,"Groups of participants were asked to collaborate in multiple rounds of tasks across two groups. When participants are reconvened with the same group, users' identities are masked by pseudonyms, which makes them think that the collaboration is new.","The goal is to complete four rounds of a task the cognitive conflict task and allocate $500,000 between competing programs that most appeal to personal values.","Communication, analytical thinking, creative thinking, decision making, negotiations","Send message to other group members
View previous messages
Leave the chat
Send message for each program allocating a budget
Blacklist teams from future interactions","Proposed projects:
1. To purchase a new computer system for the county government in order to hold local taxes constant.
2. To establish a community arts program featuring art, music, and dance programs for children and adults.
3. To establish an additional shelter for the homeless in the community.",https://github.com/Watts-Lab/task-mapping/blob/29d07cb7799f4471cf1b5723ac2d214690c8744d/tasks/Allocating%20Resources%20to%20Programs.md,NA,Allocating_Resources_to_Programs_Chatbox.png,85575,image/png,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-21T02:25:59Z,2022-02-21T02:36:08Z,Imported,71.230.175.0,100,608,TRUE,2022-02-28T03:26:07Z,R_bQjOUNlIhJVCs2W,NA,NA,NA,NA,39.98429870605469,-75.22660064697266,anonymous,EN,Image rating,joycewang3,Pictures of a series of products and accompanying slogans,To rate slogans on a scale of 1 (worst) to 10 (best) based on what they believed a large sample of Americans would rate their suitability for the given products,none (common senses / experience),"See pictures, click on choices of number 1 to 10",N/A,https://github.com/Watts-Lab/task-mapping/blob/cac8624d243a2487c0090c018041bbeb4147ad6b/tasks/Image%20rating.md,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
