IPAddress,task_num,question_name,value,task_name
165.123.226.19,3,Q10maximizing_feedbk,The goal of the task is to find a path that is as short as possible,Euclidean traveling salesperson
96.230.197.235,15,Q10maximizing_feedbk,I suppose you could interpret this as MINIMIING the # of adjacent notes that match colors?,Graph coloring task
71.230.175.0,14,Q10maximizing_feedbk,Details of the task are not included,Recall videos
165.123.225.83,8,Q10maximizing_feedbk,Depends on the task. Some ask to generate as many words as possible.,Word completion given starting letter
165.123.224.59,17,Q10maximizing_feedbk,fewest number of clicks,Abstract grid task
165.123.225.241,8,Q10maximizing_feedbk,for some tasks,Word completion given starting letter
96.230.197.235,12,Q11optimizing_feedbk,"It depends on the implementation. I might be asked to find exactly 10 wells. Or 3 blue wells and 2 red wells, if they introduced color.",Wildcat Wells
96.230.197.235,4,Q11optimizing_feedbk,Hmmm now I'm a little confused whether this task is all or nothing or precision - you need to find exactly the route that connects the dots in a particular way,9 Dot Problem
96.230.197.235,3,Q11optimizing_feedbk,You must find THE shortest path,Euclidean traveling salesperson
96.230.197.235,15,Q11optimizing_feedbk,This does seem to fit the description of trying to have NO adjacent nodes with the same color.,Graph coloring task
165.123.227.136,11,Q11optimizing_feedbk,"This is a risk analysis question, so I read this as all-or-nothing, but not necessarily ""optimizing,"" e.g., they just need to decide to evacuate when there's a disaster, but it's not precision-oriented.",To evacuate or not to evacuate
165.123.225.83,8,Q11optimizing_feedbk,For generating a certain number of words precision matters but not  for maximizing number of words,Word completion given starting letter
165.123.225.241,8,Q11optimizing_feedbk,for some tasks,Word completion given starting letter
68.82.12.63,2,Q11optimizing_feedbk,Only if the pattern is straightforward,Ravens Matrices
73.81.147.146,20,Q11optimizing_feedbk,You want to maximize how many dots you hit but you also want to be strategic about the point value each dot holds so there is a level of accuracy or quality to the decisions you make in addition to wanting volume.,Whac-A-Mole
70.16.131.195,6,Q11optimizing_feedbk,"It is unclear whether there is a certain criteria used to evaluate the responses (number of responses, quality of responses)",Summarize Discussion
68.82.12.63,16,Q11optimizing_feedbk,"the threshold isn't clearly defined, so it's a no",Shopping plan
96.230.197.235,12,Q13out_mult_feedbk,"I think the one best solution would be finding ALL the wells. But if you are competing with others, simply finding the most wells of the group might suffice.",Wildcat Wells
165.123.226.19,3,Q13out_mult_feedbk,I think it is possible that there will be two shortest paths of the same length,Euclidean traveling salesperson
96.230.197.235,4,Q13out_mult_feedbk,I think there is only one way to do this per stimulus but I suppose you could connect dots in mutliple ways?,9 Dot Problem
96.230.197.235,3,Q13out_mult_feedbk,"I suppose there could be 2 equivalent paths, in theory, in some stimuli...",Euclidean traveling salesperson
96.230.197.235,15,Q13out_mult_feedbk,I don't think so - I imagine if you have lots of colors there are many ways to do this. Probably depends on the number of nodes and complexity of connection as well.,Graph coloring task
12.172.21.120,10,Q13out_mult_feedbk,Is the true US population opinion the “best” solution?,Image rating
174.252.128.127,3,Q13out_mult_feedbk,I guess there exists a solution (I assume) but we just have to find it - and that part is hard!,Euclidean traveling salesperson
165.123.229.201,22,Q13out_mult_feedbk,it could be the case that students could get same utility in different rooms,Room assignment task
165.123.225.83,26,Q13out_mult_feedbk,There should be several ways to solve the riddle,"Wolf, goat and cabbage transfer"
71.230.175.0,9,Q13out_mult_feedbk,The purpose of allocating the fund i.e. what they are trying to achieve is not included in the task description,Allocating resources to programs
71.230.175.0,22,Q13out_mult_feedbk,"Depends on the setting i.e. rooms, rules etc",Room assignment task
68.82.12.63,2,Q13out_mult_feedbk,Depending on the pattern,Ravens Matrices
96.230.197.235,12,Q14sol_s_mult_fdbk,"you could go from left to right, or top to bottom, or follow whatever path you want searching for wells.",Wildcat Wells
96.230.197.235,3,Q14sol_s_mult_fdbk,"You could probably do this in a few ways - forward, backward, bouncing around...",Euclidean traveling salesperson
68.82.12.63,26,Q14sol_s_mult_fdbk,"It can be solved mathematically using graph theory to visualize all possible moves, or by the more general approach of thinking through the problem","Wolf, goat and cabbage transfer"
96.230.197.235,9,Q15d_verif_feedbk,I'm pretty sure there is no right answer to this task.,Allocating resources to programs
96.230.197.235,4,Q15d_verif_feedbk,"I think you could probably sense that you found the solution, but maybe a shorter path just doesnt pop out to you.",9 Dot Problem
96.230.197.235,2,Q15d_verif_feedbk,Unless researchers put in ravens matrices that cannot be solved!,Ravens Matrices
12.172.21.120,10,Q15d_verif_feedbk,"Again, assuming the answer is the true US population opinion",Image rating
174.252.128.127,3,Q15d_verif_feedbk,NP hard problems cannot necessarily be verified in polynomial time,Euclidean traveling salesperson
165.123.227.136,11,Q15d_verif_feedbk,"You can know the ""correct"" answer at the end, but an expert can't necessarily verify that your decision is 100% correct, since there's some stochasticity in risk, right? (It depends on at what point the expert is verifying -- when the answer is revealed, or when you're still weighing it up.)",To evacuate or not to evacuate
165.123.225.241,1,Q15d_verif_feedbk,"if completed words are real English words, then task is completed correctly vs. it would be completed incorrectly if words are wrong",Word completion given part of word
68.82.12.63,13,Q15d_verif_feedbk,"It would be really helpful to know the outcome of this task. If it's an estimation per se, then it cannot be verified by 3rd party. If it's accuracy, then it definitely can",Estimating pages of a book
165.123.227.78,21,Q15d_verif_feedbk,"While sometimes there is debate about what is a fruit or a vegetable, a botanist can determine which is correct in the list. This is the logic I used to answer this question, but I can imagine different responses to this question.",Putting food into categories
70.16.131.195,18,Q15d_verif_feedbk,"It is unclear how the solution/answer will be evaluated - only by the ""no more than 30 characters"" requirement or by the quality of the answer.",Advertisement writing
128.91.19.14,2,Q16shared_kno_feedbk,Patterns are kind of hard to describe in words,Ravens Matrices
71.230.175.0,14,Q16shared_kno_feedbk,I might need to know what are included in the question set to answer this question,Recall videos
165.123.229.201,22,Q16shared_kno_feedbk,utility table would create a formal model,Room assignment task
165.123.229.201,19,Q16shared_kno_feedbk,not sure whether this task is applicable to groups and whether any knowledge is shared,Guessing the correlation
68.82.12.63,16,Q16shared_kno_feedbk,"Result-wise: yes, process-wise: it involves creativity rather than a formal mathematical axiom",Shopping plan
96.230.197.235,12,Q17within_sys_feedbk,"I suppose it depends if you are looking for ALL the wells. If you run out of time and some dots are not unturned to see if a well is there, you won't know if you found all of them or not.",Wildcat Wells
96.230.197.235,9,Q17within_sys_feedbk,"Probably not - these programs are probably lightly described, so people may have to make guesses about their worthiness when making tradeoffs.",Allocating resources to programs
165.123.225.230,7,Q17within_sys_feedbk,"Should be ""yes"" unless someone deliberately designs this to be unsolvable",Letters-to-numbers problems (cryptography)
96.230.197.235,15,Q17within_sys_feedbk,"Well, I suppose you could be given a limited palette of colors such that it is impossible to actually achieve the goal.",Graph coloring task
96.230.197.235,2,Q17within_sys_feedbk,But note that researchers could and DO often do unsolvable ravens matrices to see if you persist on the task,Ravens Matrices
68.82.12.63,9,Q17within_sys_feedbk,More information regarding each cause is required to arrive at an informed consensus,Allocating resources to programs
