task,stage
,
22 Mathematical puzzles,
24 arithmetic problems,
3-issue cell phone negotaition,
5 squares problem,
9 Dot Problem,agreement
Abstract grid task,agreement
Advertisement writing,agreement
Aerospace Investment (Role-playing),agreement
Allocating resources to programs,agreement
Apache helicopter flight simulator (Longbow2),2
Architectural design task,agreement
Arithmetic problem 1,1
Arithmetic problem 2,1
Arithmetic problem 3,1
Arithmetic problem 4,1
Arithmetic problem 5,
Arithmetic problem 6,
Battle of the sexes,individual
Best job candidate (hidden-profile),agreement
Biopharm Seltek,agreement
Blocks World for Teams,individual
Brainstorming (various),
Bullard Houses,agreement
Bureucratic organization simulation (subjects naive),
Candle task,
Carter Racing,agreement
Categorization problem,agreement
Checkers,individual
Cheering and Clapping,1
Chess,
Chicken,agreement
Coin task (Creativity),
Computer maze,1
Conformity game,individual
Creative uses of objects,2
Crisis mapping,agreement
decrypt words/sentences,2
Desert survival,agreement
Dictator game and its variants,agreement
Discussion tasks (Hackman),
Divergent Association Task,agreement
Do nothing,
Energetics Meets Generex,agreement
Estimating geological metrics,agreement
Estimating pages of a book,agreement
Estimating social quantity,individual
Euclidean traveling salesperson,agreement
Find the common symbol,
Find the maximum,agreement
"Forecasting and Estimation in Groups, with Confidence",agreement
Game of Clue - Terrorist Attack,agreement
Graph coloring task,agreement
Guessing numbers,agreement
Guessing the correlation,2
Hearts,
Hidden figures in a picture,individual
Husbands and wives transfer,agreement
Image rating,agreement
Intergroup Prisoner's Dilemma,2
Intergroup Prisoner's Dilemma-Maximizing Difference,agreement
Internation simulation,
Investment Game (aka Trust Game),2
Investment game (hidden-profile),agreement
Iterated Snowdrift Game (aka Hawk-Dove game),agreement
Iterative lemonade stand task,agreement
Judgment of product and slogan,agreement
letters-to-numbers problems (cryptography),agreement
Logic Problem,individual
Manipulation (change object to goal state),agreement
Mastermind,agreement
Military negotiation similar to Vietnam,
Minimal Group Paradigm (study diversity),agreement
Minimum-effort tacit coordination game,individual
Mock jury,individual
Moms.com,
Moral Reasoning (Disciplinary Action Case),agreement
Moral reasoning dilemmas,
Moving offices (complex task),
"NASA Moon survival",individual
New Recruit,agreement
Object based generalization for reasoning (Phyre),
Oligopoly game,agreement
Organization Game,individual
pharmaceutical company (hidden-profile),agreement
Pipe task,
Prisoner's Dilemma (various versions),
Problem solving tasks (Hackman),
Production tasks (Hackman),
Public goods game,2
Putting food into categories,agreement
Radio assembly task,individual
Railroad Route Construction game,agreement
Random dot motion,agreement
"Rank cities by population, rank words by familiarity",agreement
Ravens Matrices,agreement
Reading the mind in the eyes,agreement
Recall association,individual
Recall images ,agreement
Recall stories,
Recall videos,agreement
Recall word lists,agreement
reproducing arts,individual
Room assignment task,agreement
Run a mini business,agreement
Search for Oil Task,agreement
Sender-Receiver game,2
Sequential dyadic die-rolling,agreement
Shopping plan,agreement
"Sort items (letters, numbers, shapes)",
Space Fortress,agreement
Splitting a deck of cards,agreement
"Strike Group Defender (developed by Metateq, Inc.)",agreement
Sub-arctic survival,2
Sudoku,agreement
Summarize Discussion,agreement
Target Search,agreement
The beer game,agreement
The Fish game,agreement
The maximum of a function,agreement
The N light bulbs game,agreement
To evacuate or not to evacuate,agreement
TOPSIM - general mgmt business game,agreement
Trivia Multiple Choice Quiz,individual
Typing game,2
Ultimatum game (various versions),agreement
Unscramble words (anagrams),agreement
Viking,agreement
Visual Oddball Target,individual
Volunteer Investment Game,agreement
Wason’s Selection Task,
Whac-A-Mole,agreement
who committed a murder (hidden-profile),
Wildcam Gorongosa (Zooniverse),agreement
Wildcat Wells,agreement
"Wolf, goat and cabbage transfer",agreement
Word completion given part of word,agreement
Word completion given starting letter,2
Word construction from a subset of letters,agreement
Word/Sentence construction,
Writing story,agreement
